"ROLE_RSP_ACTN_ID","ROLE_RSP_ID","ROLE_MBR_ID","ACTN_TYP_CD","PRIORITY_NBR","ACTN_PLCY_CD","FRC_ACTN","OBJ_ID","VER_NBR"
"KCoeus10","KCoeus10","*","A",1,"F","Y","B6A90093AD578D60E040DC0A1F8A1D16",1
"KCoeus11","KCoeus11","*","A",1,"F","N","B6A90093AD598D60E040DC0A1F8A1D16",1
"KCoeus12","KCoeus12","*","A",1,"A","N","B6A90093AD5B8D60E040DC0A1F8A1D16",1
"KCoeus13","KCoeus13","*","A",1,"A","N","B6A90093AD5D8D60E040DC0A1F8A1D16",1
"KCoeus14","KCoeus14","*","A",1,"F","N","B6A90093AD5F8D60E040DC0A1F8A1D16",1
"KCoeus15","KCoeus15","*","A",1,"F","N","B6A90093AD618D60E040DC0A1F8A1D16",1
"KCoeus16","KCoeus16","*","A",1,"A","N","B6A90093AD638D60E040DC0A1F8A1D16",1
"KCoeus18","KCoeus18","*","A",1,"F","Y","B6A90093AD678D60E040DC0A1F8A1D16",1
"KCoeus2","KCoeus2","*","A",1,"F","Y","B6A90093AD478D60E040DC0A1F8A1D16",1
"KCoeus23","KCoeus25","*","A",1,"F","N","EAAE523DB6C4A6E9E040DC0A1F8A0F5D",1
"KCoeus24","KCoeus26","*","A",1,"F","Y","EAAE523DB6CDA6E9E040DC0A1F8A0F5D",1
"KCoeus25","KCoeus27","*","A",1,"F","Y","EAAE523DB6D4A6E9E040DC0A1F8A0F5D",1
"KCoeus27","KCoeus29","*","A",1,"F","Y","EAAE523DB710A6E9E040DC0A1F8A0F5D",1
"KCoeus28","KCoeus30","*","A",1,"F","Y","EAAE523DB769A6E9E040DC0A1F8A0F5D",1
"KCoeus29","KCoeus31","*","A",1,"F","Y","EAAE523DB775A6E9E040DC0A1F8A0F5D",1
"KCoeus3","KCoeus3","*","A",1,"F","Y","B6A90093AD498D60E040DC0A1F8A1D16",1
"KCoeus30","KCoeus32","*","A",1,"F","Y","EAAE523DB7D3A6E9E040DC0A1F8A0F5D",1
"KCoeus32","KCoeus34","*","A",1,"F","Y","EAAE523DB806A6E9E040DC0A1F8A0F5D",1
"KCoeus33","KCoeus33","*","A",1,"F","Y","EAAE523DB807A6E9E040DC0A1F8A0F5D",1
"KCoeus4","KCoeus4","*","A",1,"F","Y","B6A90093AD4B8D60E040DC0A1F8A1D16",1
"KCoeus5","KCoeus5","*","A",1,"F","Y","B6A90093AD4D8D60E040DC0A1F8A1D16",1
"KCoeus6","KCoeus6","*","A",1,"F","N","B6A90093AD4F8D60E040DC0A1F8A1D16",1
"KCoeus7","KCoeus7","*","A",1,"F","N","B6A90093AD518D60E040DC0A1F8A1D16",1
"KCoeus8","KCoeus8","*","A",1,"F","N","B6A90093AD538D60E040DC0A1F8A1D16",1
"KCoeus9","KCoeus9","*","A",1,"F","N","B6A90093AD558D60E040DC0A1F8A1D16",1
