"CTGRY_ID","NM","NMSPC_CD","VER_NBR"
"KC1000","Property","KC-PD",1
"KC1001","Function","KC-PD",1
"KC1002","Questionnaire","KC-PD",1
"KC1003","Property","KC-PROTOCOL",1
"KC1004","Function","KC-PROTOCOL",1
"KC1005","Questionnaire","KC-PROTOCOL",1
"KC1006","Property","KC-IACUC",1
"KC1007","Function","KC-IACUC",1
"KC1008","Questionnaire","KC-IACUC",1
"KC1009","Property","KC-AWARD",1
"KC1010","Function","KC-AWARD",1
"KC1011","Questionnaire","KC-AWARD",1
"KC1012","Property","KC-COIDISCLOSURE",1
"KC1013","Function","KC-COIDISCLOSURE",1
"KC1014","Questionnaire","KC-COIDISCLOSURE",1
