"FUNC_ID","NMSPC_CD","NM","DESC_TXT","RTRN_TYP","TYP_ID","ACTV","VER_NBR"
"KC10000","KC-COIDISCLOSURE","getScreeningQuestionYesAnswerCount","Screening Question Yes Count","java.lang.Integer","KC10000","Y",1
"KC10001","KC-COIDISCLOSURE","getReporterActiveFinancialEntityCount","Number of active financial entities","java.lang.Integer","KC10000","Y",1
"KC1001","KC-PD","IS_SPONSOR_FEDERAL","Is Sponsor Federal","java.lang.String","KC1005","Y",1
"KC1002","KC-PD","specifiedGGForm","Specified GG Form","java.lang.String","KC1006","Y",1
"KC1003","KC-PD","leadUnitRule","Lead Unit Rule","java.lang.String","KC1006","Y",1
"KC1004","KC-PD","sponsorGroupRule","Sponsor Group Rule","java.lang.String","KC1006","Y",1
"KC1005","KC-PD","proposalAwardTypeRule","Award Type Rule","java.lang.String","KC1006","Y",1
"KC1006","KC-PD","s2sLeadershipRule","S2S Leadership Rule","java.lang.String","KC1006","Y",1
"KC1007","KC-PD","checkProposalPiRule","Check Proposal Principal Investigator","java.lang.String","KC1006","Y",1
"KC1008","KC-PD","checkProposalCoiRule","Check Proposal Co-Investigator","java.lang.String","KC1006","Y",1
"KC1009","KC-PD","leadUnitBelowRule","Lead Unit Below In Hierarchy","java.lang.String","KC1006","Y",1
"KC1010","KC-PD","specialReviewRule","Special Review Rule","java.lang.String","KC1006","Y",1
"KC1011","KC-PD","proposalUnitRule","Unit in Proposal","java.lang.String","KC1006","Y",1
"KC1012","KC-PD","sponsorTypeRule","Sponsor Type Rule","java.lang.String","KC1006","Y",1
"KC1013","KC-PD","s2sAttachmentNarrativeRule","S2S Attachment Narrative Rule","java.lang.String","KC1006","Y",1
"KC1014","KC-PD","s2sModularBudgetRule","S2S Modular Budget Rule","java.lang.String","KC1006","Y",1
"KC1015","KC-PD","s2sFederalIdRule","S2S Federal ID Rule","java.lang.String","KC1006","Y",1
"KC1016","KC-PD","mtdcDeviation","MTDC Deviation in Final Budget Version","java.lang.String","KC1006","Y",1
"KC1017","KC-PD","s2sExemptionRule","S2S Exemption Rule","java.lang.String","KC1006","Y",1
"KC1018","KC-PD","costElement","Cost Element Exists","java.lang.String","KC1006","Y",1
"KC1019","KC-PD","activityTypeRule","Activity Type Rule","java.lang.String","KC1006","Y",1
"KC1020","KC-PD","sponsor","Sponsor Rule","java.lang.String","KC1006","Y",1
"KC1021","KC-PD","nonFacultyPi","Non Faculty Principal Investigator","java.lang.String","KC1006","Y",1
"KC1022","KC-PD","attachmentFileNameRule","Attachment File Name Rule","java.lang.String","KC1006","Y",1
"KC1023","KC-PD","mtdcDeviationInVersion","MTDC Deviation In Budget Version","java.lang.String","KC1006","Y",1
"KC1024","KC-PD","proposalTypeRule","Proposal Type Rule","java.lang.String","KC1006","Y",1
"KC1025","KC-PD","incompleteNarrativeRule","Incomplete Narrative Rule","java.lang.String","KC1006","Y",1
"KC1026","KC-PD","multiplePI","Multiple PI check","java.lang.String","KC1006","Y",1
"KC1027","KC-PD","s2sBudgetRule","checks for form inlusion","java.lang.String","KC1006","Y",1
"KC1028","KC-PD","monitoredSponsorRule","checks if proposal is using a passed in sposnor hirerarchy","java.lang.String","KC1006","Y",1
"KC1029","KC-PD","s2sResplanRule","checks for maximum attachments in narrative types.","java.lang.String","KC1006","Y",1
"KC1030","KC-PD","grantsFormRule","checks for forms existence.","java.lang.String","KC1006","Y",1
"KC1031","KC-PD","biosketchFileNameRule","checks for special characters in the biosketch file name.","java.lang.String","KC1006","Y",1
"KC1032","KC-PD","ospAdminPropPersonRule","checks to see if an OSP administrator is a proposal person.","java.lang.String","KC1006","Y",1
"KC1033","KC-PD","costElementVersionLimit","checks that a cost element limit has not been exceeded.","java.lang.String","KC1006","Y",1
"KC1034","KC-PD","divisionCodeRule","checks the division code is null.","java.lang.String","KC1006","Y",1
"KC1035","KC-PD","divisionCodeIsFellowship","checks if the proposal is a fellowship.","java.lang.String","KC1006","Y",1
"KC1036","KC-PD","budgetSubawardOrganizationnameRule","checks subaward organization for special characters.","java.lang.String","KC1006","Y",1
"KC1037","KC-PD","checkProposalPerson","Checks if the passes in person ID is a proposal person.","java.lang.String","KC1006","Y",1
"KC1038","KC-PD","agencyProgramCodeNullRule","Checks if the passes in person ID is a proposal personrule to CHECK IF a proposal agency program code field  is  null.","java.lang.String","KC1006","Y",1
"KC1039","KC-PD","allProposalsRule","Pointless rule, just returns true.","java.lang.String","KC1006","Y",1
"KC1040","KC-PD","proposalLeadUnitInHierarchy","checks if the proposals lead unit is in the passed in unit hierarchy.","java.lang.String","KC1006","Y",1
"KC1041","KC-PD","s2sSubawardRule","verifies only one set of unique forms.","java.lang.String","KC1006","Y",1
"KC1042","KC-PD","proposalGrantsRule","Checks if the opportunity is already selected for the proposal","java.lang.String","KC1006","Y",1
"KC1043","KC-PD","narrativeTypeRule","verfies activity type code is specified.","java.lang.String","KC1006","Y",1
"KC1044","KC-PD","s2s398CoverRule","verify PHS Cover letter narrative(39) is attached, must include s2s cover letter form","java.lang.String","KC1006","Y",1
"KC1045","KC-PD","narrativeFileName","verify no special characters are used.","java.lang.String","KC1006","Y",1
"KC1046","KC-PD","costElementInVersion","verify that a cost element is used in the specified version of the proposal","java.lang.String","KC1006","Y",1
"KC1047","KC-PD","investigatorKeyPersonCertificationRule","verify that each investigator and key person are certified.","java.lang.String","KC1006","Y",1
"KC1048","KC-PROTOCOL","allProtocols","True for all protocols","java.lang.Boolean","KC1007","Y",1
"KC1049","KC-PROTOCOL","isProtocolAmendment","Is Protocol an amendment","java.lang.Boolean","KC1007","Y",1
"KC1050","KC-PROTOCOL","isProtocolRenewal","Is Protocol a renewal","java.lang.Boolean","KC1007","Y",1
"KC1051","KC-PROTOCOL","isProtocolLeadUnitBelow","Check Protocol leadunit below passed in unit","java.lang.Boolean","KC1007","Y",1
"KC1052","KC-PROTOCOL","hasProtocolContainsOrganization","Check Protocol organization with passed in organization","java.lang.Boolean","KC1007","Y",1
"KC1053","KC-PROTOCOL","hasFundingSourceContainsSponsor","Check Protocol organization with passed in organization","java.lang.Boolean","KC1007","Y",1
"KC1054","KC-PROTOCOL","hasFundingSourceContainsUnit","Check Protocol unit with passed in unit number","java.lang.Boolean","KC1007","Y",1
"KC1055","KC-PROTOCOL","hasProtocolContainsAreaOfResearch","Check Protocol area of research with passed in area of research","java.lang.Boolean","KC1007","Y",1
"KC1056","KC-PROTOCOL","isSubmitUserProtocolPi","Check protocol pi with passed in user id","java.lang.Boolean","KC1007","Y",1
"KC1057","KC-PROTOCOL","isLeadUnitProtocolCampus","Check protocol lead unit with passed in campus code","java.lang.Boolean","KC1007","Y",1
"KC1058","KC-PROTOCOL","hasProtocolContainsDocumentType","Check protocol contains passed in document type","java.lang.Boolean","KC1007","Y",1
"KC1059","KC-PROTOCOL","isProtocolInSubmission","Check protocol submissions contains passed in submission type","java.lang.Boolean","KC1007","Y",1
"KC1060","KC-PROTOCOL","hasProtocolContainsNotifySubmissionQualifierType","Check Protocol has notify submission qualifier type","java.lang.Boolean","KC1007","Y",1
"KC1061","KC-PROTOCOL","hasSubmissionType","Check Protocol has notify submission qualifier type","java.lang.Boolean","KC1007","Y",1
"KC1062","KC-PROTOCOL","isPINotFaculty","Is Protocol PI not a faculty","java.lang.Boolean","KC1007","Y",1
"KC1063","KC-PROTOCOL","isSpecialReviewExists","Check Protocol has any special reviews","java.lang.Boolean","KC1007","Y",1
"KC1064","KC-PROTOCOL","hasAllPersonsCompletedTraining","Check all protocol persons have completed training","java.lang.Boolean","KC1007","Y",1
"KC1065","KC-PROTOCOL","isPiChangedInAmendmentOrRenewal","Check protocol pi has changed during amendment/renewal","java.lang.Boolean","KC1007","Y",1
