"ENTITY_EMP_ID","ENTITY_ID","ENTITY_AFLTN_ID","EMP_STAT_CD","EMP_TYP_CD","PRMRY_IND","ACTV_IND","PRMRY_DEPT_CD","EMP_ID","EMP_REC_ID","OBJ_ID","VER_NBR"
"KC10001","KC10001","KC10001","A","P","Y","Y","000001","jtester","1","AAE016CCF5DE5107E040DC0A1F8A7C64","1"
"KC10002","KC10002","KC10002","A","P","Y","Y","000001","KULUSER","1","AAE016CCF5DF5107E040DC0A1F8A7C64","1"
"KC10003","KC10003","KC10003","A","P","Y","Y","000001","majors","1","AAE016CCF5E05107E040DC0A1F8A7C64","1"
"KC10004","KC10004","KC10004","A","P","Y","Y","BL-BL","chew","1","AAE016CCF5E15107E040DC0A1F8A7C64","1"
"KC10005","KC10005","KC10005","A","P","Y","Y","IU-UNIV","woods","1","AAE016CCF5E25107E040DC0A1F8A7C64","1"
"KC10006","KC10006","KC10006","A","P","Y","Y","BL-RCEN","oblood","1","AAE016CCF5E35107E040DC0A1F8A7C64","1"
"KC10007","KC10007","KC10007","A","P","Y","Y","IN-MDEP","cate","1","AAE016CCF5E45107E040DC0A1F8A7C64","1"
"KC10008","KC10008","KC10008","A","P","Y","Y","000001","houlihan","1","AAE016CCF5E55107E040DC0A1F8A7C64","1"
"KC10009","KC10009","KC10009","A","P","Y","Y","000001","rbpaulin","1","AAE016CCF5E65107E040DC0A1F8A7C64","1"
"KC10010","KC10010","KC10010","A","P","Y","Y","000001","donugent","1","AAE016CCF5E75107E040DC0A1F8A7C64","1"
"KC10011","KC10011","KC10011","A","P","Y","Y","000001","mbshorte","1","AAE016CCF5E85107E040DC0A1F8A7C64","1"
"KC10012","KC10012","KC10012","A","P","Y","Y","000001","underwoo","1","AAE016CCF5E95107E040DC0A1F8A7C64","1"
"KC10013","KC10013","KC10013","A","P","Y","Y","000001","hweubank","1","AAE016CCF5EA5107E040DC0A1F8A7C64","1"
"KC10014","KC10014","KC10014","A","P","Y","Y","000001","lvbarger","1","AAE016CCF5EB5107E040DC0A1F8A7C64","1"
