"PERM_ID","NMSPC_CD","NM","DESC_TXT","PERM_TMPL_ID","ACTV_IND","OBJ_ID","VER_NBR"
"KC842","KC-PD","Create ProposalDevelopmentDocument","Create Proposal Development Document","10","Y","AA3F29ECA87477DAE040DC0A1F8A01CC","1"
"KC843","KC-PROTOCOL","Create ProtocolDocument","Create Protocol Document","10","Y","AA3F29ECA87677DAE040DC0A1F8A01CC","1"
"KC844","KC-PROTOCOL","Create CommitteeDocument","Add new committees in a unit","10","Y","AA3F29ECA87877DAE040DC0A1F8A01CC","1"
"KC845","KC-AWARD","Create Award","Create Award","10","Y","AA3F29ECA87A77DAE040DC0A1F8A01CC","1"
"KC846","KC-PD","Submit ProposalDevelopmentDocument","Submit a Proposal for approval","5","Y","AA3F29ECA87C77DAE040DC0A1F8A01CC","1"
"KC847","KC-PROTOCOL","Submit Protocol","Submit a Protocol to IRB for review","5","Y","AA3F29ECA87E77DAE040DC0A1F8A01CC","1"
"KC848","KC-PD","Modify ProposalDevelopmentDocument","Modify Proposal Development Document","KC60","Y","AA3F29ECA88077DAE040DC0A1F8A01CC","1"
"KC849","KC-PD","Modify Budget","Create/Modify Proposal Budget","KC60","Y","AA3F29ECA88377DAE040DC0A1F8A01CC","1"
"KC850","KC-PD","Modify Narrative","Create/Modify Proposal Narrative","KC60","Y","AA3F29ECA88677DAE040DC0A1F8A01CC","1"
"KC851","KC-PD","Modify ProposalPermissions","Assign Users to Proposal Roles","KC60","Y","AA3F29ECA88977DAE040DC0A1F8A01CC","1"
"KC852","KC-PROTOCOL","Modify Protocol","Modify Protocol Document","KC60","Y","AA3F29ECA88C77DAE040DC0A1F8A01CC","1"
"KC853","KC-PROTOCOL","Modify ProtocolPermissions","Assign Users to Protocol Roles","KC60","Y","AA3F29ECA88F77DAE040DC0A1F8A01CC","1"
"KC854","KC-PROTOCOL","Modify Committee","Modify existing committees in a unit","KC60","Y","AA3F29ECA89277DAE040DC0A1F8A01CC","1"
"KC855","KC-PROTOCOL","Modify Schedule","Modify schedule details for committees in a unit","KC60","Y","AA3F29ECA89577DAE040DC0A1F8A01CC","1"
"KC856","KC-PROTOCOL","Maintain Memberships","Maintain membership details in committees in a unit","KC60","Y","AA3F29ECA89877DAE040DC0A1F8A01CC","1"
"KC857","KC-PROTOCOL","Maintain Minutes","Add/modify/delete minute entries in any schedule for committees in a unit","KC60","Y","AA3F29ECA89B77DAE040DC0A1F8A01CC","1"
"KC858","KC-AWARD","Modify Award","Modify Award","KC60","Y","AA3F29ECA89E77DAE040DC0A1F8A01CC","1"
"KC859","KC-AWARD","Maintain Award Documents","Maintain Award Documents","KC60","Y","AA3F29ECA8A177DAE040DC0A1F8A01CC","1"
"KC860","KC-PD","View Proposal","View Proposal Development Document","KC59","Y","AA3F29ECA8A477DAE040DC0A1F8A01CC","1"
"KC861","KC-PD","View Budget","View Proposal Budget","KC59","Y","AA3F29ECA8A777DAE040DC0A1F8A01CC","1"
"KC862","KC-PD","View Narratives","View Proposal Narrative","KC59","Y","AA3F29ECA8AA77DAE040DC0A1F8A01CC","1"
"KC863","KC-PROTOCOL","View Protocol","View Protocol Document","KC59","Y","AA3F29ECA8AD77DAE040DC0A1F8A01CC","1"
"KC864","KC-PROTOCOL","View Minutes","View Minutes","KC59","Y","AA3F29ECA8B077DAE040DC0A1F8A01CC","1"
"KC865","KC-PROTOCOL","View Committee","View all committees in a unit","KC59","Y","AA3F29ECA8B377DAE040DC0A1F8A01CC","1"
"KC866","KC-PROTOCOL","View Schedule","View schedule details of committees in a unit","KC59","Y","AA3F29ECA8B677DAE040DC0A1F8A01CC","1"
"KC867","KC-PROTOCOL","View Agenda","View Agenda","KC59","Y","AA3F29ECA8B977DAE040DC0A1F8A01CC","1"
"KC868","KC-AWARD","View Award","View Award","KC59","Y","AA3F29ECA8BC77DAE040DC0A1F8A01CC","1"
"KC869","KC-AWARD","View Award Documents","View Award Documents","KC59","Y","AA3F29ECA8BF77DAE040DC0A1F8A01CC","1"
"KC870","KC-PD","Alter Proposal Data","Change proposal master data once the proposal is locked","KC58","Y","AA3F29ECA8C277DAE040DC0A1F8A01CC","1"
"KC871","KC-PD","Print Proposal","Print proposal on a sponsor specific path","KC58","Y","AA3F29ECA8C577DAE040DC0A1F8A01CC","1"
"KC872","KC-PD","Certify","Certify","KC58","Y","AA3F29ECA8C877DAE040DC0A1F8A01CC","1"
"KC873","KC-PD","Submit to Sponsor","Submit a Proposal to Grants.gov","KC58","Y","AA3F29ECA8CB77DAE040DC0A1F8A01CC","1"
"KC874","KC-PD","Add Proposal Viewer","Assign User to Proposal Viewer Role","KC58","Y","AA3F29ECA8CE77DAE040DC0A1F8A01CC","1"
