"ROLE_PERM_ID","ROLE_ID","PERM_ID","ACTV_IND","OBJ_ID","VER_NBR"
"KC1000","KC10000","KC846","Y","AAE016CCF8825107E040DC0A1F8A7C64","1"
"KC1001","KC10000","KC848","Y","AAE016CCF8835107E040DC0A1F8A7C64","1"
"KC1002","KC10000","KC849","Y","AAE016CCF8845107E040DC0A1F8A7C64","1"
"KC1003","KC10000","KC850","Y","AAE016CCF8855107E040DC0A1F8A7C64","1"
"KC1004","KC10000","KC851","Y","AAE016CCF8865107E040DC0A1F8A7C64","1"
"KC1005","KC10000","KC860","Y","AAE016CCF8875107E040DC0A1F8A7C64","1"
"KC1006","KC10000","KC861","Y","AAE016CCF8885107E040DC0A1F8A7C64","1"
"KC1007","KC10000","KC862","Y","AAE016CCF8895107E040DC0A1F8A7C64","1"
"KC1008","KC10000","KC871","Y","AAE016CCF88A5107E040DC0A1F8A7C64","1"
"KC1009","KC10000","KC872","Y","AAE016CCF88B5107E040DC0A1F8A7C64","1"
"KC1010","KC10000","KC874","Y","AAE016CCF88C5107E040DC0A1F8A7C64","1"
"KC1011","KC10000","KC893","Y","AAE016CCF88D5107E040DC0A1F8A7C64","1"
"KC1012","KC10001","KC848","Y","AAE016CCF88E5107E040DC0A1F8A7C64","1"
"KC1013","KC10001","KC849","Y","AAE016CCF88F5107E040DC0A1F8A7C64","1"
"KC1014","KC10001","KC860","Y","AAE016CCF8905107E040DC0A1F8A7C64","1"
"KC1015","KC10001","KC861","Y","AAE016CCF8915107E040DC0A1F8A7C64","1"
"KC1016","KC10001","KC862","Y","AAE016CCF8925107E040DC0A1F8A7C64","1"
"KC1017","KC10001","KC871","Y","AAE016CCF8935107E040DC0A1F8A7C64","1"
"KC1058","KC113","KC941","Y","AA3F2E2DAD39D111E040DC0A1F8A01E3","1"
"KC1081","KC125","307","Y","AA3F2E2DAD50D111E040DC0A1F8A01E3","1"
"KC1084","KC125","156","Y","AA3F2E2DAD53D111E040DC0A1F8A01E3","1"
"KC1089","KC111","KC842","Y","AA3F29ECA9E177DAE040DC0A1F8A01CC","1"
"KC1090","KC110","KC848","Y","AA3F29ECA9D677DAE040DC0A1F8A01CC","1"
"KC1091","KC110","KC860","Y","AA3F29ECA9DA77DAE040DC0A1F8A01CC","1"
"KC1092","KC110","KC850","Y","AA3F29ECA9D877DAE040DC0A1F8A01CC","1"
"KC1093","KC110","KC862","Y","AA3F29ECA9DC77DAE040DC0A1F8A01CC","1"
"KC1094","KC110","KC849","Y","AA3F29ECA9D777DAE040DC0A1F8A01CC","1"
"KC1095","KC110","KC861","Y","AA3F29ECA9DB77DAE040DC0A1F8A01CC","1"
"KC1096","KC110","KC851","Y","AA3F29ECA9D977DAE040DC0A1F8A01CC","1"
"KC1097","KC110","KC871","Y","AA3F29ECA9DD77DAE040DC0A1F8A01CC","1"
"KC1098","KC110","KC872","Y","AA3F29ECA9DE77DAE040DC0A1F8A01CC","1"
"KC1099","KC110","KC846","Y","AA3F29ECA9D577DAE040DC0A1F8A01CC","1"
"KC1100","KC110","KC874","Y","AA3F29ECA9DF77DAE040DC0A1F8A01CC","1"
"KC1101","KC109","KC848","Y","AA3F29ECA9CF77DAE040DC0A1F8A01CC","1"
"KC1102","KC109","KC860","Y","AA3F29ECA9D177DAE040DC0A1F8A01CC","1"
"KC1103","KC109","KC850","Y","AA3F29ECA9D077DAE040DC0A1F8A01CC","1"
"KC1104","KC109","KC862","Y","AA3F29ECA9D377DAE040DC0A1F8A01CC","1"
"KC1105","KC109","KC861","Y","AA3F29ECA9D277DAE040DC0A1F8A01CC","1"
"KC1106","KC109","KC871","Y","AA3F29ECA9D477DAE040DC0A1F8A01CC","1"
"KC1107","KC108","KC848","Y","AA3F29ECA9C977DAE040DC0A1F8A01CC","1"
"KC1108","KC108","KC860","Y","AA3F29ECA9CB77DAE040DC0A1F8A01CC","1"
"KC1109","KC108","KC862","Y","AA3F29ECA9CD77DAE040DC0A1F8A01CC","1"
"KC1110","KC108","KC849","Y","AA3F29ECA9CA77DAE040DC0A1F8A01CC","1"
"KC1111","KC108","KC861","Y","AA3F29ECA9CC77DAE040DC0A1F8A01CC","1"
"KC1112","KC108","KC871","Y","AA3F29ECA9CE77DAE040DC0A1F8A01CC","1"
"KC1113","KC107","KC860","Y","AA3F29ECA9C577DAE040DC0A1F8A01CC","1"
"KC1114","KC107","KC862","Y","AA3F29ECA9C777DAE040DC0A1F8A01CC","1"
"KC1115","KC107","KC861","Y","AA3F29ECA9C677DAE040DC0A1F8A01CC","1"
"KC1116","KC107","KC871","Y","AA3F29ECA9C877DAE040DC0A1F8A01CC","1"
"KC1117","KC131","KC860","Y","AA3F29ECAA4577DAE040DC0A1F8A01CC","1"
"KC1118","KC131","KC862","Y","AA3F29ECAA4777DAE040DC0A1F8A01CC","1"
"KC1119","KC131","KC861","Y","AA3F29ECAA4677DAE040DC0A1F8A01CC","1"
"KC1120","KC131","KC870","Y","AA3F29ECAA4877DAE040DC0A1F8A01CC","1"
"KC1121","KC131","KC874","Y","AA3F29ECAA4977DAE040DC0A1F8A01CC","1"
"KC1122","KC130","KC860","Y","AA3F29ECAA3D77DAE040DC0A1F8A01CC","1"
"KC1123","KC130","KC862","Y","AA3F29ECAA3F77DAE040DC0A1F8A01CC","1"
"KC1124","KC130","KC861","Y","AA3F29ECAA3E77DAE040DC0A1F8A01CC","1"
"KC1125","KC130","KC870","Y","AA3F29ECAA4077DAE040DC0A1F8A01CC","1"
"KC1126","KC130","KC871","Y","AA3F29ECAA4177DAE040DC0A1F8A01CC","1"
"KC1127","KC130","KC873","Y","AA3F29ECAA4277DAE040DC0A1F8A01CC","1"
"KC1128","KC129","KC843","Y","AA3F29ECAA3C77DAE040DC0A1F8A01CC","1"
"KC1129","KC105","KC885","Y","AA3F29ECA9C477DAE040DC0A1F8A01CC","1"
"KC1130","KC105","KC847","Y","AA3F29ECA9BD77DAE040DC0A1F8A01CC","1"
"KC1131","KC105","KC852","Y","AA3F29ECA9BE77DAE040DC0A1F8A01CC","1"
"KC1132","KC105","KC863","Y","AA3F29ECA9C077DAE040DC0A1F8A01CC","1"
"KC1133","KC105","KC853","Y","AA3F29ECA9BF77DAE040DC0A1F8A01CC","1"
"KC1134","KC105","KC879","Y","AA3F29ECA9C377DAE040DC0A1F8A01CC","1"
"KC1135","KC105","KC875","Y","AA3F29ECA9C177DAE040DC0A1F8A01CC","1"
"KC1136","KC105","KC876","Y","AA3F29ECA9C277DAE040DC0A1F8A01CC","1"
"KC1137","KC104","KC863","Y","AA3F29ECA9BC77DAE040DC0A1F8A01CC","1"
"KC1138","KC128","KC854","Y","AA3F29ECAA1F77DAE040DC0A1F8A01CC","1"
"KC1139","KC128","KC855","Y","AA3F29ECAA2077DAE040DC0A1F8A01CC","1"
"KC1140","KC128","KC887","Y","AA3F29ECAA2F77DAE040DC0A1F8A01CC","1"
"KC1141","KC128","KC880","Y","AA3F29ECAA2A77DAE040DC0A1F8A01CC","1"
"KC1142","KC128","KC867","Y","AA3F29ECAA2777DAE040DC0A1F8A01CC","1"
"KC1143","KC128","KC865","Y","AA3F29ECAA2577DAE040DC0A1F8A01CC","1"
"KC1144","KC128","KC884","Y","AA3F29ECAA2E77DAE040DC0A1F8A01CC","1"
"KC1145","KC128","KC864","Y","AA3F29ECAA2477DAE040DC0A1F8A01CC","1"
"KC1146","KC128","KC866","Y","AA3F29ECAA2677DAE040DC0A1F8A01CC","1"
