"ROLE_RSP_ID","ROLE_ID","RSP_ID","ACTV_IND","OBJ_ID","VER_NBR"
"KC10","KC128","10015","Y","AA3F29ECA98F77DAE040DC0A1F8A01CC","1"
"KC11","KC128","10016","Y","AA3F29ECA99177DAE040DC0A1F8A01CC","1"
"KC12","KC132","1004","Y","AA3F29ECA99377DAE040DC0A1F8A01CC","1"
"KC13","KC133","1004","Y","AA3F29ECA99577DAE040DC0A1F8A01CC","1"
"KC14","KC134","1006","Y","AA3F29ECA99777DAE040DC0A1F8A01CC","1"
"KC15","KC135","1005","Y","AA3F29ECA99977DAE040DC0A1F8A01CC","1"
"KC16","KC136","1004","Y","AA3F29ECA99B77DAE040DC0A1F8A01CC","1"
"KC18","KC143","10014","Y","AA3F29ECA99F77DAE040DC0A1F8A01CC","1"
"KC19","KC138","10017","Y","AA3F29ECA99D77DAE040DC0A1F8A01CC","1"
"KC2","KC99","1007","Y","AA3F29ECA97F77DAE040DC0A1F8A01CC","1"
"KC3","KC99","1008","Y","AA3F29ECA98177DAE040DC0A1F8A01CC","1"
"KC4","KC99","1009","Y","AA3F29ECA98377DAE040DC0A1F8A01CC","1"
"KC5","KC99","10010","Y","AA3F29ECA98577DAE040DC0A1F8A01CC","1"
"KC6","KC100","1002","Y","AA3F29ECA98777DAE040DC0A1F8A01CC","1"
"KC7","KC100","1003","Y","AA3F29ECA98977DAE040DC0A1F8A01CC","1"
"KC8","KC112","10012","Y","AA3F29ECA98B77DAE040DC0A1F8A01CC","1"
"KC9","KC112","10013","Y","AA3F29ECA98D77DAE040DC0A1F8A01CC","1"
