"ROLE_ID","ROLE_NM","NMSPC_CD","DESC_TXT","KIM_TYP_ID","ACTV_IND","OBJ_ID","VER_NBR"
"KC100","OSPApprover","KC-WKFLW","Office of Sponsored Projects Approver","1","Y","AA3F29ECA83877DAE040DC0A1F8A01CC","1"
"KC10000","Aggregator Only","KC-PD","Proposal Aggregator without Rate Modify Right","KC68","Y","AAE016CCF6D65107E040DC0A1F8A7C64","1"
"KC10001","Budget Creator Only","KC-PD","Budget Creator without Rate Modify Perm","KC68","Y","AAE016CCF6D75107E040DC0A1F8A7C64","1"
"KC10002","Modify All Dev Proposals","KC-UNT","Modify All Dev Proposals","KC68","Y","AAE016CCF89C5107E040DC0A1F8A7C64","1"
"KC101","Award Budget Viewer","KC-AB","Award Budget Viewer - the role grants permissions to view award budget at departmental level","KC68","Y","AA3F29ECA83977DAE040DC0A1F8A01CC","1"
"KC102","Award Budget Modifier","KC-AB","Award Budget Modifier - the role grants permissions to modify or view award budget at departmental level","KC68","Y","AA3F29ECA83A77DAE040DC0A1F8A01CC","1"
"KC103","approver","KC-PD","approver","KC68","Y","AA3F29ECA83B77DAE040DC0A1F8A01CC","1"
"KC104","Protocol Viewer","KC-PROTOCOL","Protocol Viewer","KC68","Y","AA3F29ECA83C77DAE040DC0A1F8A01CC","1"
"KC105","Protocol Aggregator","KC-PROTOCOL","Protocol Aggregator","KC68","Y","AA3F29ECA83D77DAE040DC0A1F8A01CC","1"
"KC106","unassigned","KC-PD","Unassigned role - no permissions","KC68","Y","AA3F29ECA83E77DAE040DC0A1F8A01CC","1"
"KC107","Viewer","KC-PD","Proposal Viewer","KC68","Y","AA3F29ECA83F77DAE040DC0A1F8A01CC","1"
"KC108","Budget Creator","KC-PD","Proposal Budget Creator","KC68","Y","AA3F29ECA84077DAE040DC0A1F8A01CC","1"
"KC109","Narrative Writer","KC-PD","Proposal Narrative Writer","KC68","Y","AA3F29ECA84177DAE040DC0A1F8A01CC","1"
"KC110","Aggregator","KC-PD","Proposal Aggregator","KC68","Y","AA3F29ECA84277DAE040DC0A1F8A01CC","1"
"KC111","Proposal Creator","KC-UNT","Proposal Creator","KC68","Y","AA3F29ECA84377DAE040DC0A1F8A01CC","1"
"KC112","Award Budget Approver","KC-AB","Award Budget Approver - the role grants permissions to edit and approve award budget","KC69","Y","AA3F29ECA84477DAE040DC0A1F8A01CC","1"
"KC113","Award Budget Aggregator","KC-AB","Award Budget Aggregator - the role grants permissions to create and maintain award budget at department level","KC69","Y","AA3F29ECA84577DAE040DC0A1F8A01CC","1"
"KC114","Award Budget Maintainer","KC-AB","Maintain Award Budget - the role grants permissions to modify and submit award budget at departmental level","KC69","Y","AA3F29ECA84677DAE040DC0A1F8A01CC","1"
"KC115","Award Budget Administrator","KC-AB","Award Budget Administrator - the role grants permissions to manage any award budget at OSP level","KC69","Y","AA3F29ECA84777DAE040DC0A1F8A01CC","1"
"KC116","Intellectual Property Review Maintainer","KC-IP","Maintain Intellectual Property Review","KC69","Y","AA3F29ECA84877DAE040DC0A1F8A01CC","1"
"KC117","Institutional Proposal Maintainer","KC-IP","Maintain Institutional Proposals","KC69","Y","AA3F29ECA84977DAE040DC0A1F8A01CC","1"
"KC118","Institutional Proposal Viewer","KC-IP","View Institutional Proposals","KC69","Y","AA3F29ECA84A77DAE040DC0A1F8A01CC","1"
"KC119","Award Unassigned","KC-AWARD","Award Unassigned","KC69","Y","AA3F29ECA84B77DAE040DC0A1F8A01CC","1"
"KC120","Template Viewer","KC-AWARD","Template Viewer","KC69","Y","AA3F29ECA84C77DAE040DC0A1F8A01CC","1"
"KC121","Departments Awards Viewer","KC-AWARD","Departments Awards Viewer","KC69","Y","AA3F29ECA84D77DAE040DC0A1F8A01CC","1"
"KC122","Award Documents Viewer","KC-AWARD","Award Documents Viewer","KC69","Y","AA3F29ECA84E77DAE040DC0A1F8A01CC","1"
"KC123","Award Viewer","KC-AWARD","Award Viewer","KC69","Y","AA3F29ECA84F77DAE040DC0A1F8A01CC","1"
"KC124","Award Documents Maintainer","KC-AWARD","Award Documents Maintainer","KC69","Y","AA3F29ECA85077DAE040DC0A1F8A01CC","1"
"KC125","Application Administrator","KC-SYS","Application Administrator","KC69","Y","AA3F29ECA85177DAE040DC0A1F8A01CC","1"
"KC126","Award Modifier","KC-AWARD","Award Modifier","KC69","Y","AA3F29ECA85277DAE040DC0A1F8A01CC","1"
"KC127","IRB Reviewer","KC-UNT","IRB Reviewer","KC69","Y","AA3F29ECA85377DAE040DC0A1F8A01CC","1"
"KC128","IRB Administrator","KC-UNT","IRB Administrator","KC69","Y","AA3F29ECA85477DAE040DC0A1F8A01CC","1"
"KC129","Protocol Creator","KC-UNT","Protocol Creator","KC69","Y","AA3F29ECA85577DAE040DC0A1F8A01CC","1"
"KC130","Proposal Submission","KC-ADM","Proposal Submission","KC69","Y","AA3F29ECA85677DAE040DC0A1F8A01CC","1"
