"KIM_TYP_ATTR_ID","KIM_TYP_ID","KIM_ATTR_DEFN_ID","SORT_CD","ACTV_IND","OBJ_ID","VER_NBR"
"KC113","KC68","KC47","A","Y","AA3F29ECA86877DAE040DC0A1F8A01CC","1"
"KC114","KC69","KC47","A","Y","AA3F29ECA86977DAE040DC0A1F8A01CC","1"
"KC115","KC69","KC48","B","Y","AA3F29ECA86A77DAE040DC0A1F8A01CC","1"
"KC116","KC73","KC49","a","Y","AA3F29ECA86B77DAE040DC0A1F8A01CC","1"
"KC117","KC74","KC50","a","Y","AA3F29ECA86C77DAE040DC0A1F8A01CC","1"
"KC118","KC75","KC51","A","Y","AA3F29ECA86D77DAE040DC0A1F8A01CC","1"
"KC119","KC76","KC52","A","Y","AA3F29ECA86E77DAE040DC0A1F8A01CC","1"
"KC120","KC77","KC53","A","Y","AA3F29ECA86F77DAE040DC0A1F8A01CC","1"
"KC121","KC78","KC54","A","Y","AA3F29ECA87077DAE040DC0A1F8A01CC","1"
"KC122","KC79","KC55","A","Y","AA3F29ECA87177DAE040DC0A1F8A01CC","1"
"KC123","KC81","KC47","A","Y","AA3F29ECA87277DAE040DC0A1F8A01CC","1"
