"NMSPC_CD","CMPNT_CD","OBJ_ID","VER_NBR","NM","ACTV_IND"
"KC-AB","Document","B6A90093AAA18D60E040DC0A1F8A1D16",1,"Document","Y"
"KC-AWARD","Document","B6A90093AAA28D60E040DC0A1F8A1D16",1,"Document","Y"
"KC-B","All","B6A90093AAA38D60E040DC0A1F8A1D16",1,"All","Y"
"KC-B","Document","B6A90093AAA48D60E040DC0A1F8A1D16",1,"Document","Y"
"KC-COIDISCLOSURE","Document","C041EF59653F6B48E040DC0A1F8A15A8",1,"Document","Y"
"KC-GEN","All","B6A90093AAA58D60E040DC0A1F8A1D16",1,"All","Y"
"KC-GEN","Document","B6A90093AAA68D60E040DC0A1F8A1D16",1,"Document","Y"
"KC-GEN","DocumentType","B6A90093AAA78D60E040DC0A1F8A1D16",1,"Custom Attribute Document Type","Y"
"KC-IACUC","Document","C041EF5967A96B48E040DC0A1F8A15A8",1,"Document","Y"
"KC-IP","Document","B6A90093AAA88D60E040DC0A1F8A1D16",1,"Document","Y"
"KC-M","Document","B6A90093AAA98D60E040DC0A1F8A1D16",1,"Document","Y"
"KC-NEGOTIATION","Document","C041EF59656B6B48E040DC0A1F8A15A8",1,"Document","Y"
"KC-PD","All","B6A90093AAAA8D60E040DC0A1F8A1D16",1,"All","Y"
"KC-PD","Document","B6A90093AAAB8D60E040DC0A1F8A1D16",1,"Document","Y"
"KC-PD","Lookup","B6A90093AAAC8D60E040DC0A1F8A1D16",1,"Lookup","Y"
"KC-PROTOCOL","Document","B6A90093AAAD8D60E040DC0A1F8A1D16",1,"Document","Y"
"KC-QUESTIONNAIRE","P","B6A90093AAAE8D60E040DC0A1F8A1D16",1,"Permissions","Y"
"KC-SUBAWARD","Document","C041EF5968326B48E040DC0A1F8A15A8",1,"Document","Y"
"KC-T","Document","B6A90093AAAF8D60E040DC0A1F8A1D16",1,"Document","Y"
