"ENTITY_ID","OBJ_ID","VER_NBR","ACTV_IND"
"KC10001","D5A1CCE273D3AC6EE040DC0A1F8A32D6",1,"Y"
"KC10002","D5A1CCE273D5AC6EE040DC0A1F8A32D6",1,"N"
"KC10003","D5A1CCE273D7AC6EE040DC0A1F8A32D6",1,"Y"
"KC10004","D5A1CCE273D9AC6EE040DC0A1F8A32D6",1,"Y"
"KC10005","D5A1CCE273DBAC6EE040DC0A1F8A32D6",1,"Y"
"KC10006","D5A1CCE273DDAC6EE040DC0A1F8A32D6",1,"Y"
"KC10007","D5A1CCE273DFAC6EE040DC0A1F8A32D6",1,"Y"
"KC10008","D5A1CCE273E1AC6EE040DC0A1F8A32D6",1,"Y"
"KC10009","D5A1CCE273E3AC6EE040DC0A1F8A32D6",1,"Y"
"KC10010","D5A1CCE273E5AC6EE040DC0A1F8A32D6",1,"Y"
"KC10011","D5A1CCE273E7AC6EE040DC0A1F8A32D6",1,"Y"
"KC10012","D5A1CCE273E9AC6EE040DC0A1F8A32D6",1,"Y"
"KC10013","D5A1CCE273EBAC6EE040DC0A1F8A32D6",1,"Y"
"KC10014","D5A1CCE273EDAC6EE040DC0A1F8A32D6",1,"Y"
"KC10015","D5A1CCE273EFAC6EE040DC0A1F8A32D6",1,"Y"
"KC10016","D5A1CCE273F1AC6EE040DC0A1F8A32D6",1,"Y"
"KC10017","D5A1CCE273F3AC6EE040DC0A1F8A32D6",1,"Y"
"KC10018","D5A1CCE273F5AC6EE040DC0A1F8A32D6",1,"Y"
"KC10019","D5A1CCE273F7AC6EE040DC0A1F8A32D6",1,"Y"
"KC10020","D5A1CCE273F9AC6EE040DC0A1F8A32D6",1,"Y"
"KC10021","D5A1CCE273FBAC6EE040DC0A1F8A32D6",1,"Y"
"KC10022","D5A1CCE273FDAC6EE040DC0A1F8A32D6",1,"Y"
"KC10023","D5A1CCE273FFAC6EE040DC0A1F8A32D6",1,"Y"
"KC10024","D5A1CCE27401AC6EE040DC0A1F8A32D6",1,"Y"
"KC10025","D5A1CCE27403AC6EE040DC0A1F8A32D6",1,"Y"
"KC10026","D5A1CCE27405AC6EE040DC0A1F8A32D6",1,"Y"
"KC10027","D5A1CCE27407AC6EE040DC0A1F8A32D6",1,"Y"
"KC10028","D5A1CCE27409AC6EE040DC0A1F8A32D6",1,"Y"
"KC10029","D5A1CCE2740BAC6EE040DC0A1F8A32D6",1,"Y"
"KC10030","D5A1CCE2740DAC6EE040DC0A1F8A32D6",1,"Y"
"KC10031","D5A1CCE2740FAC6EE040DC0A1F8A32D6",1,"Y"
"KC10032","D5A1CCE27411AC6EE040DC0A1F8A32D6",1,"Y"
"KC10033","D5A1CCE27413AC6EE040DC0A1F8A32D6",1,"Y"
"KC10034","D5A1CCE27415AC6EE040DC0A1F8A32D6",1,"Y"
"KC10035","D5A1CCE27417AC6EE040DC0A1F8A32D6",1,"Y"
"KC10036","D5A1CCE27419AC6EE040DC0A1F8A32D6",1,"Y"
"KC10037","D5A1CCE2741BAC6EE040DC0A1F8A32D6",1,"Y"
"KC10038","D5A1CCE2741DAC6EE040DC0A1F8A32D6",1,"Y"
"KC10039","D5A1CCE2741FAC6EE040DC0A1F8A32D6",1,"Y"
"KC10040","D5A1CCE27421AC6EE040DC0A1F8A32D6",1,"Y"
"KC10041","D5A1CCE27423AC6EE040DC0A1F8A32D6",1,"Y"
"KC10042","D5A1CCE27425AC6EE040DC0A1F8A32D6",1,"Y"
"KC10043","D5A1CCE27427AC6EE040DC0A1F8A32D6",1,"Y"
"KC10044","D5A1CCE27429AC6EE040DC0A1F8A32D6",1,"Y"
"KC10045","D5A1CCE2742BAC6EE040DC0A1F8A32D6",1,"Y"
"KC10046","D5A1CCE2742DAC6EE040DC0A1F8A32D6",1,"Y"
"KC10047","D5A1CCE2742FAC6EE040DC0A1F8A32D6",1,"Y"
"KC10048","D5A1CCE27431AC6EE040DC0A1F8A32D6",1,"Y"
"KC10049","D5A1CCE27433AC6EE040DC0A1F8A32D6",1,"Y"
"KC10050","D5A1CCE27435AC6EE040DC0A1F8A32D6",1,"Y"
