"GRP_MBR_ID","GRP_ID","MBR_ID","MBR_TYP_CD","OBJ_ID","VER_NBR","ACTV_FRM_DT","ACTV_TO_DT"
"KC10000","10010000","1","P","4b72c469-f96b-461b-bb63-1cb31016bcb8",1,NULL,NULL
"KC10002","1002001","10000000001","P","CB2CAFBC435C39BFE040DC0A1F8A472A",1,NULL,NULL
"KC10003","1002001","10000000002","P","CB2CAFBC435D39BFE040DC0A1F8A472A",1,NULL,NULL
"KC10004","1002001","10000000004","P","CB2CAFBC435E39BFE040DC0A1F8A472A",1,NULL,NULL
"KC10005","1002001","10000000005","P","CB2CAFBC435F39BFE040DC0A1F8A472A",1,NULL,NULL
"KC10006","1002001","10000000006","P","CB2CAFBC436039BFE040DC0A1F8A472A",1,NULL,NULL
"KC10007","1002001","10000000007","P","CB2CAFBC436139BFE040DC0A1F8A472A",1,NULL,NULL
"KC10008","1002001","10000000008","P","CB2CAFBC436239BFE040DC0A1F8A472A",1,NULL,NULL
"KC10009","1002001","10000000009","P","CB2CAFBC436339BFE040DC0A1F8A472A",1,NULL,NULL
"KC10010","1002001","10000000010","P","CB2CAFBC436439BFE040DC0A1F8A472A",1,NULL,NULL
"KC10011","1002001","10000000011","P","CB2CAFBC436539BFE040DC0A1F8A472A",1,NULL,NULL
"KC10012","1002001","10000000012","P","CB2CAFBC436639BFE040DC0A1F8A472A",1,NULL,NULL
"KC10013","1002001","10000000013","P","CB2CAFBC436739BFE040DC0A1F8A472A",1,NULL,NULL
"KC10014","1002001","10000000014","P","CB2CAFBC436839BFE040DC0A1F8A472A",1,NULL,NULL
"KC10015","1002001","10000000015","P","CB2CAFBC436939BFE040DC0A1F8A472A",1,NULL,NULL
"KC10016","1002001","10000000016","P","CB2CAFBC436A39BFE040DC0A1F8A472A",1,NULL,NULL
"KC10017","1002001","10000000017","P","CB2CAFBC436B39BFE040DC0A1F8A472A",1,NULL,NULL
"KC10018","1002001","10000000018","P","CB2CAFBC436C39BFE040DC0A1F8A472A",1,NULL,NULL
"KC10019","1002001","10000000019","P","CB2CAFBC436D39BFE040DC0A1F8A472A",1,NULL,NULL
"KC10020","1002001","10000000020","P","CB2CAFBC436E39BFE040DC0A1F8A472A",1,NULL,NULL
"KC10021","1002001","10000000021","P","CB2CAFBC436F39BFE040DC0A1F8A472A",1,NULL,NULL
"KC10022","1002001","10000000022","P","CB2CAFBC437039BFE040DC0A1F8A472A",1,NULL,NULL
"KC10023","1002001","10000000023","P","CB2CAFBC437139BFE040DC0A1F8A472A",1,NULL,NULL
"KC10024","1002001","10000000024","P","CB2CAFBC437239BFE040DC0A1F8A472A",1,NULL,NULL
"KC10025","1002001","10000000025","P","CB2CAFBC437339BFE040DC0A1F8A472A",1,NULL,NULL
"KC10026","1002001","10000000026","P","CB2CAFBC437439BFE040DC0A1F8A472A",1,NULL,NULL
"KC10027","1002001","10000000027","P","CB2CAFBC437539BFE040DC0A1F8A472A",1,NULL,NULL
"KC10028","1002001","10000000028","P","CB2CAFBC437639BFE040DC0A1F8A472A",1,NULL,NULL
"KC10029","1002001","10000000029","P","CB2CAFBC437739BFE040DC0A1F8A472A",1,NULL,NULL
"KC10030","1002001","10000000030","P","CB2CAFBC437839BFE040DC0A1F8A472A",1,NULL,NULL
