"ATTR_DATA_ID","ROLE_MBR_ID","KIM_TYP_ID","KIM_ATTR_DEFN_ID","ATTR_VAL","OBJ_ID","VER_NBR"
"KC10000","KC10002","KC69","KC47","000001","C98A132675436FE9E040DC0A1F8A5FA2",1
"KC10001","KC10003","KC68","KC47","000001","C98A132675456FE9E040DC0A1F8A5FA2",1
"KC10002","KC10004","KC68","KC47","000001","C98A132675476FE9E040DC0A1F8A5FA2",1
"KC10003","KC10005","KC68","KC47","000001","C98A132675496FE9E040DC0A1F8A5FA2",1
"KC10004","KC10006","KC68","KC47","000001","C98A1326754B6FE9E040DC0A1F8A5FA2",1
"KC10005","KC10007","KC68","KC47","000001","C98A1326754D6FE9E040DC0A1F8A5FA2",1
"KC10006","KC10008","KC69","KC47","000001","C98A1326754F6FE9E040DC0A1F8A5FA2",1
"KC10007","KC10008","KC69","KC48","Y","C98A132675506FE9E040DC0A1F8A5FA2",1
"KC10008","KC10009","KC69","KC47","000001","C98A132675526FE9E040DC0A1F8A5FA2",1
"KC10009","KC10009","KC69","KC48","Y","C98A132675536FE9E040DC0A1F8A5FA2",1
"KC10010","KC10010","KC69","KC47","000001","C98A132675556FE9E040DC0A1F8A5FA2",1
"KC10011","KC10010","KC69","KC48","Y","C98A132675566FE9E040DC0A1F8A5FA2",1
"KC10012","KC10011","KC69","KC47","000001","C98A132675586FE9E040DC0A1F8A5FA2",1
"KC10013","KC10011","KC69","KC48","Y","C98A132675596FE9E040DC0A1F8A5FA2",1
"KC10014","KC10012","KC69","KC47","000001","C98A1326755B6FE9E040DC0A1F8A5FA2",1
"KC10015","KC10012","KC69","KC48","Y","C98A1326755C6FE9E040DC0A1F8A5FA2",1
"KC10016","KC10013","KC69","KC47","000001","C98A1326755E6FE9E040DC0A1F8A5FA2",1
"KC10017","KC10013","KC69","KC48","Y","C98A1326755F6FE9E040DC0A1F8A5FA2",1
"KC10018","KC10014","KC69","KC47","000001","C98A132675616FE9E040DC0A1F8A5FA2",1
"KC10019","KC10014","KC69","KC48","Y","C98A132675626FE9E040DC0A1F8A5FA2",1
"KC10020","KC10015","KC69","KC47","000001","C98A132675646FE9E040DC0A1F8A5FA2",1
"KC10021","KC10015","KC69","KC48","Y","C98A132675656FE9E040DC0A1F8A5FA2",1
"KC10022","KC10016","KC69","KC47","000001","C98A132675676FE9E040DC0A1F8A5FA2",1
"KC10023","KC10016","KC69","KC48","Y","C98A132675686FE9E040DC0A1F8A5FA2",1
"KC10024","KC10017","KC69","KC47","000001","C98A1326756A6FE9E040DC0A1F8A5FA2",1
"KC10025","KC10017","KC69","KC48","Y","C98A1326756B6FE9E040DC0A1F8A5FA2",1
"KC10026","KC10018","KC69","KC47","000001","C98A1326756D6FE9E040DC0A1F8A5FA2",1
"KC10027","KC10018","KC69","KC48","Y","C98A1326756E6FE9E040DC0A1F8A5FA2",1
"KC10028","KC10019","KC69","KC47","IN-CARD","C98A132675706FE9E040DC0A1F8A5FA2",1
"KC10029","KC10019","KC69","KC48","Y","C98A132675716FE9E040DC0A1F8A5FA2",1
"KC10030","KC10020","KC69","KC47","000001","C98A132675736FE9E040DC0A1F8A5FA2",1
"KC10031","KC10020","KC69","KC48","Y","C98A132675746FE9E040DC0A1F8A5FA2",1
"KC10032","KC10021","KC69","KC47","000001","C98A132675766FE9E040DC0A1F8A5FA2",1
"KC10033","KC10021","KC69","KC48","Y","C98A132675776FE9E040DC0A1F8A5FA2",1
"KC10034","KC10022","KC69","KC47","000001","C98A132675796FE9E040DC0A1F8A5FA2",1
"KC10035","KC10022","KC69","KC48","Y","C98A1326757A6FE9E040DC0A1F8A5FA2",1
"KC10036","KC10037","KC68","KC47","000001","C98A1326758A6FE9E040DC0A1F8A5FA2",1
"KC10037","KC10039","KC69","KC47","000001","C98A1326758D6FE9E040DC0A1F8A5FA2",1
