"ROLE_MBR_ID","ROLE_ID","MBR_ID","MBR_TYP_CD","OBJ_ID","VER_NBR","ACTV_FRM_DT","ACTV_TO_DT"
"KCoeus10000","KCoeus99","10000000112","P","D9EDD8E9CD5EC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10001","KCoeus99","10000000116","P","D9EDD8E9CD5FC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10002","KCoeus102","10000000109","P","D9EDD8E9CD60C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10003","KCoeus104","10000000118","P","D9EDD8E9CD62C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10004","KCoeus105","10000000114","P","D9EDD8E9CD64C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10005","KCoeus105","10000000116","P","D9EDD8E9CD66C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10006","KCoeus111","10000000081","P","D9EDD8E9CD68C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10007","KCoeus111","10000000082","P","D9EDD8E9CD6AC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10008","KCoeus112","10000000102","P","D9EDD8E9CD6CC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10009","KCoeus113","10000000106","P","D9EDD8E9CD6FC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10010","KCoeus114","10000000107","P","D9EDD8E9CD72C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10011","KCoeus115","10000000104","P","D9EDD8E9CD75C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10012","KCoeus120","10000000111","P","D9EDD8E9CD78C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10013","KCoeus121","10000000110","P","D9EDD8E9CD7BC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10014","KCoeus124","10000000108","P","D9EDD8E9CD7EC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10015","KCoeus125","10000000101","P","D9EDD8E9CD81C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10016","KCoeus126","10000000103","P","D9EDD8E9CD84C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10017","KCoeus127","10000000117","P","D9EDD8E9CD87C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10018","KCoeus128","10000000112","P","D9EDD8E9CD8AC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10019","KCoeus128","10000000113","P","D9EDD8E9CD8DC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10020","KCoeus129","10000000115","P","D9EDD8E9CD90C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10021","KCoeus129","10000000116","P","D9EDD8E9CD93C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10022","KCoeus131","10000000105","P","D9EDD8E9CD96C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10024","KCoeus99","10000000001","P","D9EDD8E9CD9AC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10025","KCoeus99","10000000002","P","D9EDD8E9CD9BC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10026","KCoeus99","10000000004","P","D9EDD8E9CD9CC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10027","KCoeus99","10000000005","P","D9EDD8E9CD9DC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10028","KCoeus99","10000000006","P","D9EDD8E9CD9EC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10029","KCoeus99","10000000007","P","D9EDD8E9CD9FC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10030","KCoeus99","10000000022","P","D9EDD8E9CDA0C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10031","KCoeus99","10000000112","P","D9EDD8E9CDA1C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10032","KCoeus99","10000000112","P","D9EDD8E9CDA2C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10033","KCoeus99","10000000116","P","D9EDD8E9CDA3C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10034","KCoeus99","10000000116","P","D9EDD8E9CDA4C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10035","KCoeus100","10000000049","P","D9EDD8E9CDA5C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10036","KCoeus100","10000000059","P","D9EDD8E9CDA6C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10037","KCoeus101","10000000063","P","D9EDD8E9CDA7C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10038","KCoeus104","10000000116","P","D9EDD8E9CDA9C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10039","KCoeus104","10000000118","P","D9EDD8E9CDAAC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10040","KCoeus105","10000000112","P","D9EDD8E9CDACC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10041","KCoeus105","10000000114","P","D9EDD8E9CDADC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10042","KCoeus105","10000000116","P","D9EDD8E9CDAFC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10043","KCoeus110","10000000001","P","D9EDD8E9CDB1C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10044","KCoeus111","10000000001","P","D9EDD8E9CDB2C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10045","KCoeus111","10000000001","P","D9EDD8E9CDB4C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10046","KCoeus111","10000000001","P","D9EDD8E9CDB6C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10047","KCoeus111","10000000001","P","D9EDD8E9CDB8C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10048","KCoeus111","10000000002","P","D9EDD8E9CDBAC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10049","KCoeus111","10000000002","P","D9EDD8E9CDBCC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10050","KCoeus111","10000000002","P","D9EDD8E9CDBEC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10051","KCoeus111","10000000002","P","D9EDD8E9CDC0C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10052","KCoeus111","10000000004","P","D9EDD8E9CDC2C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10053","KCoeus111","10000000005","P","D9EDD8E9CDC4C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10054","KCoeus111","10000000006","P","D9EDD8E9CDC6C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10055","KCoeus111","10000000006","P","D9EDD8E9CDC8C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10056","KCoeus111","10000000006","P","D9EDD8E9CDCAC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10057","KCoeus111","10000000007","P","D9EDD8E9CDCCC478E040DC0A1F8A3320",1,NULL,NULL
