"ROLE_RSP_ACTN_ID","ROLE_RSP_ID","ROLE_MBR_ID","ACTN_TYP_CD","PRIORITY_NBR","ACTN_PLCY_CD","FRC_ACTN","OBJ_ID","VER_NBR"
"KC10","KC10","*","A",1,"F","Y","B6A90093AD578D60E040DC0A1F8A1D16",1
"KC11","KC11","*","A",1,"F","N","B6A90093AD598D60E040DC0A1F8A1D16",1
"KC12","KC12","*","A",1,"A","N","B6A90093AD5B8D60E040DC0A1F8A1D16",1
"KC13","KC13","*","A",1,"A","N","B6A90093AD5D8D60E040DC0A1F8A1D16",1
"KC14","KC14","*","A",1,"F","N","B6A90093AD5F8D60E040DC0A1F8A1D16",1
"KC15","KC15","*","A",1,"F","N","B6A90093AD618D60E040DC0A1F8A1D16",1
"KC16","KC16","*","A",1,"A","N","B6A90093AD638D60E040DC0A1F8A1D16",1
"KC18","KC18","*","A",1,"F","Y","B6A90093AD678D60E040DC0A1F8A1D16",1
"KC2","KC2","*","A",1,"F","Y","B6A90093AD478D60E040DC0A1F8A1D16",1
"KC20","KC20","*","A",1,"F","Y","C041EF5967A06B48E040DC0A1F8A15A8",1
"KC21","KC23","*","A",1,"F","Y","CA78AE0AD73CB727E040DC0A1F8A577C",1
"KC22","KC24","*","A",1,"F","Y","CA78AE0AD73EB727E040DC0A1F8A577C",1
"KC23","KC25","*","A",1,"F","N","CA78AE0AD781B727E040DC0A1F8A577C",1
"KC24","KC26","*","A",1,"F","Y","CA78AE0AD78AB727E040DC0A1F8A577C",1
"KC25","KC27","*","A",1,"F","Y","CA78AE0AD791B727E040DC0A1F8A577C",1
"KC26","KC28","*","A",1,"F","Y","CA78AE0AD7B0B727E040DC0A1F8A577C",1
"KC27","KC29","*","A",1,"F","Y","CA78AE0AD80EB727E040DC0A1F8A577C",1
"KC3","KC3","*","A",1,"F","Y","B6A90093AD498D60E040DC0A1F8A1D16",1
"KC4","KC4","*","A",1,"F","Y","B6A90093AD4B8D60E040DC0A1F8A1D16",1
"KC5","KC5","*","A",1,"F","Y","B6A90093AD4D8D60E040DC0A1F8A1D16",1
"KC6","KC6","*","A",1,"F","N","B6A90093AD4F8D60E040DC0A1F8A1D16",1
"KC7","KC7","*","A",1,"F","N","B6A90093AD518D60E040DC0A1F8A1D16",1
"KC8","KC8","*","A",1,"F","N","B6A90093AD538D60E040DC0A1F8A1D16",1
"KC9","KC9","*","A",1,"F","N","B6A90093AD558D60E040DC0A1F8A1D16",1
