"ATTR_DATA_ID","RSP_ID","KIM_TYP_ID","KIM_ATTR_DEFN_ID","ATTR_VAL","OBJ_ID","VER_NBR"
"KCoeus1099","10017","7","13","ProtocolDocument","B6A90093AA7B8D60E040DC0A1F8A1D16",1
"KCoeus1100","10017","7","16","DepartmentReview","B6A90093AA7C8D60E040DC0A1F8A1D16",1
"KCoeus1101","10017","7","40","false","B6A90093AA7D8D60E040DC0A1F8A1D16",1
"KCoeus1102","10017","7","41","false","B6A90093AA7E8D60E040DC0A1F8A1D16",1
"KCoeus1131","10018","7","13","CoiDisclosureDocument","C041EF59679B6B48E040DC0A1F8A15A8",1
"KCoeus1132","10018","7","16","COIReview","C041EF59679C6B48E040DC0A1F8A15A8",1
"KCoeus1133","10018","7","40","true","C041EF59679D6B48E040DC0A1F8A15A8",1
"KCoeus1134","10018","7","41","false","C041EF59679E6B48E040DC0A1F8A15A8",1
"KCoeus1152","10019","54","13","RiceDocument","C041EF59681F6B48E040DC0A1F8A15A8",1
"KCoeus1153","10020","54","13","KC","C041EF5968226B48E040DC0A1F8A15A8",1
"KCoeus1213","10021","7","13","SubAwardInvoiceMaintenanceDocument","DF9006FC8E7995A4E040DC0A1F8A3FF6",1
"KCoeus1214","10021","7","16","SubAwardRequisitionerReview","DF9006FC8E7A95A4E040DC0A1F8A3FF6",1
"KCoeus1215","10021","7","40","true","DF9006FC8E7B95A4E040DC0A1F8A3FF6",1
"KCoeus1216","10021","7","41","false","DF9006FC8E7C95A4E040DC0A1F8A3FF6",1
"KCoeus1220","10022","7","13","IacucProtocolOnlineReviewDocument","DF9006FC8EBE95A4E040DC0A1F8A3FF6",1
"KCoeus1221","10022","7","16","IACUCAdminInitialReview","DF9006FC8EBF95A4E040DC0A1F8A3FF6",1
"KCoeus1222","10022","7","40","false","DF9006FC8EC095A4E040DC0A1F8A3FF6",1
"KCoeus1223","10022","7","41","false","DF9006FC8EC195A4E040DC0A1F8A3FF6",1
"KCoeus1224","10023","7","13","IacucProtocolOnlineReviewDocument","DF9006FC8EC595A4E040DC0A1F8A3FF6",1
"KCoeus1225","10023","7","16","IACUCOnlineReviewer","DF9006FC8EC695A4E040DC0A1F8A3FF6",1
"KCoeus1226","10023","7","40","false","DF9006FC8EC795A4E040DC0A1F8A3FF6",1
"KCoeus1227","10023","7","41","false","DF9006FC8EC895A4E040DC0A1F8A3FF6",1
"KCoeus1228","10024","7","13","IacucProtocolOnlineReviewDocument","DF9006FC8ECE95A4E040DC0A1F8A3FF6",1
"KCoeus1229","10024","7","16","IACUCAdminReview","DF9006FC8ECF95A4E040DC0A1F8A3FF6",1
"KCoeus1230","10024","7","40","false","DF9006FC8ED095A4E040DC0A1F8A3FF6",1
"KCoeus1231","10024","7","41","false","DF9006FC8ED195A4E040DC0A1F8A3FF6",1
"KCoeus1232","10025","7","13","IacucProtocolDocument","DF9006FC8EED95A4E040DC0A1F8A3FF6",1
"KCoeus1233","10025","7","16","IACUCReview","DF9006FC8EEE95A4E040DC0A1F8A3FF6",1
"KCoeus1234","10025","7","40","false","DF9006FC8EEF95A4E040DC0A1F8A3FF6",1
"KCoeus1235","10025","7","41","false","DF9006FC8EF095A4E040DC0A1F8A3FF6",1
"KCoeus1266","10026","7","13","IacucProtocolDocument","DF9006FC8FFF95A4E040DC0A1F8A3FF6",1
"KCoeus1267","10026","7","16","IACUCReview","DF9006FC900095A4E040DC0A1F8A3FF6",1
"KCoeus1268","10026","7","40","false","DF9006FC900195A4E040DC0A1F8A3FF6",1
"KCoeus1269","10026","7","41","false","DF9006FC900295A4E040DC0A1F8A3FF6",1
"KCoeus882","1002","7","13","ProposalDevelopmentDocument","B6A90093AA308D60E040DC0A1F8A1D16",1
"KCoeus883","1002","7","16","OSPInitial","B6A90093AA318D60E040DC0A1F8A1D16",1
"KCoeus884","1002","7","40","false","B6A90093AA328D60E040DC0A1F8A1D16",1
"KCoeus885","1002","7","41","false","B6A90093AA338D60E040DC0A1F8A1D16",1
"KCoeus886","1003","7","13","ProposalDevelopmentDocument","B6A90093AA358D60E040DC0A1F8A1D16",1
"KCoeus887","1003","7","16","OSPOfficeRouting","B6A90093AA368D60E040DC0A1F8A1D16",1
"KCoeus888","1003","7","40","false","B6A90093AA378D60E040DC0A1F8A1D16",1
"KCoeus889","1003","7","41","false","B6A90093AA388D60E040DC0A1F8A1D16",1
"KCoeus890","1004","7","13","ProposalDevelopmentDocument","B6A90093AA3A8D60E040DC0A1F8A1D16",1
"KCoeus891","1004","7","16","ProposalPersons","B6A90093AA3B8D60E040DC0A1F8A1D16",1
"KCoeus892","1004","7","40","false","B6A90093AA3C8D60E040DC0A1F8A1D16",1
"KCoeus893","1004","7","41","false","B6A90093AA3D8D60E040DC0A1F8A1D16",1
"KCoeus894","1005","7","13","ProposalDevelopmentDocument","B6A90093AA3F8D60E040DC0A1F8A1D16",1
"KCoeus895","1005","7","16","UnitRouting","B6A90093AA408D60E040DC0A1F8A1D16",1
"KCoeus896","1005","7","40","false","B6A90093AA418D60E040DC0A1F8A1D16",1
"KCoeus897","1005","7","41","false","B6A90093AA428D60E040DC0A1F8A1D16",1
"KCoeus898","1006","7","13","ProposalDevelopmentDocument","B6A90093AA448D60E040DC0A1F8A1D16",1
"KCoeus899","1006","7","16","DepartmentalRouting","B6A90093AA458D60E040DC0A1F8A1D16",1
"KCoeus900","1006","7","40","false","B6A90093AA468D60E040DC0A1F8A1D16",1
"KCoeus901","1006","7","41","false","B6A90093AA478D60E040DC0A1F8A1D16",1
"KCoeus902","1007","7","13","ProtocolDocument","B6A90093AA498D60E040DC0A1F8A1D16",1
"KCoeus903","1007","7","16","IRBApprove","B6A90093AA4A8D60E040DC0A1F8A1D16",1
"KCoeus904","1007","7","40","false","B6A90093AA4B8D60E040DC0A1F8A1D16",1
"KCoeus905","1007","7","41","false","B6A90093AA4C8D60E040DC0A1F8A1D16",1
"KCoeus906","1008","7","13","ProtocolDocument","B6A90093AA4E8D60E040DC0A1F8A1D16",1
"KCoeus907","1008","7","16","AssignedToCommittee","B6A90093AA4F8D60E040DC0A1F8A1D16",1
"KCoeus908","1008","7","40","false","B6A90093AA508D60E040DC0A1F8A1D16",1
"KCoeus909","1008","7","41","false","B6A90093AA518D60E040DC0A1F8A1D16",1
"KCoeus910","1009","7","13","ProtocolDocument","B6A90093AA538D60E040DC0A1F8A1D16",1
"KCoeus911","1009","7","16","AssignedToAgenda","B6A90093AA548D60E040DC0A1F8A1D16",1
"KCoeus912","1009","7","40","false","B6A90093AA558D60E040DC0A1F8A1D16",1
"KCoeus913","1009","7","41","false","B6A90093AA568D60E040DC0A1F8A1D16",1
"KCoeus914","10010","7","13","ProtocolDocument","B6A90093AA588D60E040DC0A1F8A1D16",1
"KCoeus915","10010","7","16","IRBReview","B6A90093AA598D60E040DC0A1F8A1D16",1
"KCoeus916","10010","7","40","false","B6A90093AA5A8D60E040DC0A1F8A1D16",1
"KCoeus917","10010","7","41","false","B6A90093AA5B8D60E040DC0A1F8A1D16",1
"KCoeus918","10011","7","13","ProtocolDocument","B6A90093AA5D8D60E040DC0A1F8A1D16",1
"KCoeus919","10011","7","16","IRBReceipt","B6A90093AA5E8D60E040DC0A1F8A1D16",1
"KCoeus920","10011","7","40","false","B6A90093AA5F8D60E040DC0A1F8A1D16",1
"KCoeus921","10011","7","41","false","B6A90093AA608D60E040DC0A1F8A1D16",1
"KCoeus922","10012","7","13","AwardBudgetDocument","B6A90093AA628D60E040DC0A1F8A1D16",1
"KCoeus923","10012","7","16","AwardBudgetInitialApproval","B6A90093AA638D60E040DC0A1F8A1D16",1
"KCoeus924","10012","7","40","false","B6A90093AA648D60E040DC0A1F8A1D16",1
"KCoeus925","10012","7","41","false","B6A90093AA658D60E040DC0A1F8A1D16",1
"KCoeus926","10013","7","13","AwardBudgetDocument","B6A90093AA678D60E040DC0A1F8A1D16",1
"KCoeus927","10013","7","16","AwardBudgetOSPApproval","B6A90093AA688D60E040DC0A1F8A1D16",1
"KCoeus928","10013","7","40","false","B6A90093AA698D60E040DC0A1F8A1D16",1
"KCoeus929","10013","7","41","false","B6A90093AA6A8D60E040DC0A1F8A1D16",1
"KCoeus930","10014","7","13","ProtocolOnlineReviewDocument","B6A90093AA6C8D60E040DC0A1F8A1D16",1
"KCoeus931","10014","7","16","OnlineReviewer","B6A90093AA6D8D60E040DC0A1F8A1D16",1
"KCoeus932","10014","7","40","false","B6A90093AA6E8D60E040DC0A1F8A1D16",1
"KCoeus933","10014","7","41","false","B6A90093AA6F8D60E040DC0A1F8A1D16",1
"KCoeus934","10015","7","13","ProtocolOnlineReviewDocument","B6A90093AA718D60E040DC0A1F8A1D16",1
"KCoeus935","10015","7","16","IRBAdminReview","B6A90093AA728D60E040DC0A1F8A1D16",1
"KCoeus936","10015","7","40","false","B6A90093AA738D60E040DC0A1F8A1D16",1
"KCoeus937","10015","7","41","false","B6A90093AA748D60E040DC0A1F8A1D16",1
"KCoeus938","10016","7","13","ProtocolOnlineReviewDocument","B6A90093AA768D60E040DC0A1F8A1D16",1
"KCoeus939","10016","7","16","IRBAdminInitialReview","B6A90093AA778D60E040DC0A1F8A1D16",1
"KCoeus940","10016","7","40","false","B6A90093AA788D60E040DC0A1F8A1D16",1
"KCoeus941","10016","7","41","false","B6A90093AA798D60E040DC0A1F8A1D16",1
