"CNTXT_VLD_ACTN_ID","CNTXT_ID","ACTN_TYP_ID","VER_NBR"
"KC1000","KC-PD-CONTEXT","1003",1
"KC1001","KC-PD-CONTEXT","1000",1
"KC1002","KC-PD-CONTEXT","1001",1
"KC1003","KC-PROTOCOL-CONTEXT","1003",1
"KC1004","KC-PROTOCOL-CONTEXT","1000",1
"KC1005","KC-PROTOCOL-CONTEXT","1001",1
"KC1006","KC-IACUC-CONTEXT","1003",1
"KC1007","KC-IACUC-CONTEXT","1000",1
"KC1008","KC-IACUC-CONTEXT","1001",1
"KC1009","KC-AWARD-CONTEXT","1003",1
"KC1010","KC-AWARD-CONTEXT","1000",1
"KC1011","KC-AWARD-CONTEXT","1001",1
"KC1012","KC-COIDISCLOSURE-CONTEXT","1003",1
"KC1013","KC-COIDISCLOSURE-CONTEXT","1000",1
"KC1014","KC-COIDISCLOSURE-CONTEXT","1001",1
