"FUNC_PARM_ID","NM","DESC_TXT","TYP","FUNC_ID","SEQ_NO"
"KC0001","sponsorCode",NULL,"java.lang.Object","KC1001",1
"KC0002","GrantsGov Form Name",NULL,"java.lang.String","KC1002",2
"KC0003","DevelopmentProposal",NULL,"org.kuali.kra.proposaldevelopment.bo.DevelopmentProposal","KC1002",1
"KC0004","Lead Unit Number",NULL,"java.lang.String","KC1003",2
"KC0005","DevelopmentProposal",NULL,"org.kuali.kra.proposaldevelopment.bo.DevelopmentProposal","KC1003",1
"KC0006","Sponsor Group Name",NULL,"java.lang.String","KC1004",2
"KC0007","DevelopmentProposal",NULL,"org.kuali.kra.proposaldevelopment.bo.DevelopmentProposal","KC1004",1
"KC0008","Award Type Code",NULL,"java.lang.Integer","KC1005",2
"KC0009","DevelopmentProposal",NULL,"org.kuali.kra.proposaldevelopment.bo.DevelopmentProposal","KC1005",1
"KC0010","DevelopmentProposal",NULL,"org.kuali.kra.proposaldevelopment.bo.DevelopmentProposal","KC1006",1
"KC0011","User Principal ID",NULL,"java.lang.String","KC1007",2
"KC0012","DevelopmentProposal",NULL,"org.kuali.kra.proposaldevelopment.bo.DevelopmentProposal","KC1007",1
"KC0013","User Principal ID",NULL,"java.lang.String","KC1008",2
"KC0014","DevelopmentProposal",NULL,"org.kuali.kra.proposaldevelopment.bo.DevelopmentProposal","KC1008",1
"KC0015","Unit Number",NULL,"java.lang.String","KC1009",2
"KC0016","DevelopmentProposal",NULL,"org.kuali.kra.proposaldevelopment.bo.DevelopmentProposal","KC1009",1
"KC0017","Special Review Type Code",NULL,"java.lang.String","KC1010",2
"KC0018","DevelopmentProposal",NULL,"org.kuali.kra.proposaldevelopment.bo.DevelopmentProposal","KC1010",1
"KC0019","Unit Number",NULL,"java.lang.String","KC1011",2
"KC0020","DevelopmentProposal",NULL,"org.kuali.kra.proposaldevelopment.bo.DevelopmentProposal","KC1011",1
"KC0021","Sponsor Type Code",NULL,"java.lang.String","KC1012",2
"KC0022","DevelopmentProposal",NULL,"org.kuali.kra.proposaldevelopment.bo.DevelopmentProposal","KC1012",1
"KC0023","DevelopmentProposal",NULL,"org.kuali.kra.proposaldevelopment.bo.DevelopmentProposal","KC1013",1
"KC0024","DevelopmentProposal",NULL,"org.kuali.kra.proposaldevelopment.bo.DevelopmentProposal","KC1014",1
"KC0025","DevelopmentProposal",NULL,"org.kuali.kra.proposaldevelopment.bo.DevelopmentProposal","KC1015",1
