"TERM_SPEC_ID","CTGRY_ID"
"KC1000","KC1000"
"KC10000","KC1013"
"KC10001","KC1013"
"KC1001","KC1000"
"KC1002","KC1000"
"KC1003","KC1000"
"KC1004","KC1000"
"KC1005","KC1000"
"KC1006","KC1000"
"KC1007","KC1000"
"KC1008","KC1000"
"KC1010","KC1003"
"KC1011","KC1003"
"KC1012","KC1003"
"KC1013","KC1006"
"KC1014","KC1006"
"KC1015","KC1006"
"KC1016","KC1002"
"KC1017","KC1000"
"KC1018","KC1000"
"KC1019","KC1000"
"KC1020","KC1000"
"KC1021","KC1000"
"KC1022","KC1001"
"KC1023","KC1000"
"KC1024","KC1000"
"KC1025","KC1001"
"KC1026","KC1005"
"KC1027","KC1008"
"KC1028","KC1011"
"KC1029","KC1014"
"KC2000","KC1001"
"KC2001","KC1001"
"KC2002","KC1001"
"KC2003","KC1001"
"KC2004","KC1001"
"KC2005","KC1001"
"KC2006","KC1001"
"KC2007","KC1001"
"KC2008","KC1001"
"KC2009","KC1001"
"KC2010","KC1001"
"KC2011","KC1001"
"KC2012","KC1001"
"KC2013","KC1001"
"KC2014","KC1001"
"KC2015","KC1001"
"KC2016","KC1001"
"KC2017","KC1001"
"KC2018","KC1001"
"KC2019","KC1001"
"KC2020","KC1001"
"KC2021","KC1001"
"KC2022","KC1001"
"KC2023","KC1001"
"KC2028","KC1001"
"KC2029","KC1001"
"KC2030","KC1001"
"KC2031","KC1001"
"KC2032","KC1001"
"KC2033","KC1001"
"KC2034","KC1001"
"KC2035","KC1001"
"KC2036","KC1001"
"KC2038","KC1001"
"KC2039","KC1001"
"KC2040","KC1001"
"KC2041","KC1001"
"KC2042","KC1001"
"KC2043","KC1001"
"KC2044","KC1001"
"KC2045","KC1001"
"KC2046","KC1001"
"KC2047","KC1001"
"KC2048","KC1001"
"KC2049","KC1004"
"KC2050","KC1004"
"KC2051","KC1004"
"KC2052","KC1004"
"KC2053","KC1004"
"KC2054","KC1004"
"KC2055","KC1004"
"KC2056","KC1004"
"KC2057","KC1004"
"KC2058","KC1004"
"KC2059","KC1004"
"KC2060","KC1004"
"KC2061","KC1004"
"KC2062","KC1004"
"KC2063","KC1004"
"KC2064","KC1004"
"KC2065","KC1004"
"KC2066","KC1004"
"KC2067","KC1004"
"KC2068","KC1004"
"KC2069","KC1007"
"KC2070","KC1007"
"KC2071","KC1007"
"KC2072","KC1007"
"KC2073","KC1007"
"KC2074","KC1007"
"KC2075","KC1007"
"KC2076","KC1007"
"KC2077","KC1007"
"KC2078","KC1007"
"KC2079","KC1007"
"KC2080","KC1007"
"KC2081","KC1007"
"KC2082","KC1007"
"KC2083","KC1007"
"KC2084","KC1007"
"KC2085","KC1007"
"KC2086","KC1007"
"KC2087","KC1007"
"KC2088","KC1007"
"KC2089","KC1004"
