"TERM_SPEC_ID","NM","TYP","ACTV","VER_NBR","DESC_TXT","NMSPC_CD"
"KC1000","totalCost","java.lang.Integer","Y",1,"Total Cost Amount","KC-PD"
"KC1001","totalDirectCost","java.lang.Integer","Y",1,"Total Direct Cost Amount","KC-PD"
"KC1002","totalIndirectCost","java.lang.Integer","Y",1,"Total Indirect Cost Amount","KC-PD"
"KC1003","costShareAmount","java.lang.Integer","Y",1,"Cost Share Amount","KC-PD"
"KC1004","underrecoveryAmount","java.lang.Integer","Y",1,"Underrecovery Amount","KC-PD"
"KC1005","totalCostInitial","java.lang.Integer","Y",1,"Total Cost Initial","KC-PD"
"KC1006","totalDirectCostLimit","java.lang.Integer","Y",1,"Total Cost Direct Cost Limit","KC-PD"
"KC1007","cfdaNumber","java.lang.String","Y",1,"CFDA Number","KC-PD"
"KC1008","opportunityId","java.lang.String","Y",1,"Opportunity ID","KC-PD"
"KC1009","IS_SPONSOR_FEDERAL","java.lang.String","Y",1,"Is Sponsor Federal","KC-PD"
"KC1010","protocolRefNum1","java.lang.String","Y",1,"Protocol Reference Number 1","KC-PROTOCOL"
"KC1011","protocolRefNum2","java.lang.String","Y",1,"Protocol Reference Number 2","KC-PROTOCOL"
"KC1012","fdaApplicationNumber","java.lang.String","Y",1,"FDA Application Number","KC-PROTOCOL"
"KC1013","iacucRefNum1","java.lang.String","Y",1,"IACUC Reference Number 1","KC-IACUC"
"KC1014","iacucRefNum2","java.lang.String","Y",1,"IACUC Reference Number 2","KC-IACUC"
"KC1015","fdaApplicationNumber","java.lang.String","Y",1,"FDA Application Number","KC-IACUC"
"KC1016","Question","java.lang.String","Y",1,"The answer to a given Question on a Questionnaire","KC-PD"
"KC1017","activityType","java.lang.String","Y",1,"Activity Type Code","KC-PD"
"KC1018","deadlineDate","java.util.Date","Y",1,"Deadline Date","KC-PD"
"KC1019","leadUnit","java.lang.String","Y",1,"Lead Unit","KC-PD"
"KC1020","proposalType","java.lang.String","Y",1,"Proposal Type Code","KC-PD"
"KC1021","anticipatedAwardType","java.lang.String","Y",1,"Anticipated Award Type Code","KC-PD"
"KC1022","allProposals","java.lang.Boolean","Y",1,"All Proposals","KC-PD"
"KC1023","agencyDivisionCode","java.lang.String","Y",1,"Agency Division Code","KC-PD"
"KC1024","agencyProgramCode","java.lang.String","Y",1,"Agency Program Code","KC-PD"
"KC1025","proposalNarrativesComplete","java.lang.Boolean","Y",1,"Proposal Narratives Complete","KC-PD"
"KC1026","Question","java.lang.String","Y",1,"The answer to a given Question on a Questionnaire","KC-PROTOCOL"
"KC1027","Question","java.lang.String","Y",1,"The answer to a given Question on a Questionnaire","KC-IACUC"
"KC1028","Question","java.lang.String","Y",1,"The answer to a given Question on a Questionnaire","KC-AWARD"
"KC1029","Question","java.lang.String","Y",1,"The answer to a given Question on a Questionnaire","KC-COIDISCLOSURE"
"KC1030","allProtocols","java.lang.String","Y",1,"All Protocols","KC-PROTOCOL"
"KC2000","specifiedGGForm","java.lang.String","Y",1,"Specified GG Form","KC-PD"
"KC2001","leadUnitRule","java.lang.String","Y",1,"Lead Unit Rule","KC-PD"
"KC2002","sponsorGroupRule","java.lang.String","Y",1,"Sponsor Group Rule","KC-PD"
"KC2003","proposalAwardTypeRule","java.lang.String","Y",1,"Proposal Award Type Rule","KC-PD"
"KC2004","s2sLeadershipRule","java.lang.String","Y",1,"S2S Leadership Rule","KC-PD"
"KC2005","checkProposalPiRule","java.lang.String","Y",1,"Check Proposal Principal Investigator Rule","KC-PD"
"KC2006","checkProposalCoiRule","java.lang.String","Y",1,"Check Proposal Co-Investigator Rule","KC-PD"
"KC2007","leadUnitBelowRule","java.lang.String","Y",1,"Lead Unit Below Rule","KC-PD"
"KC2008","specialReviewRule","java.lang.String","Y",1,"Special Review Rule","KC-PD"
"KC2009","proposalUnitRule","java.lang.String","Y",1,"Proposal Unit Rule","KC-PD"
"KC2010","sponsorTypeRule","java.lang.String","Y",1,"Sponsor Type Rule","KC-PD"
"KC2011","s2sAttachmentNarrativeRule","java.lang.String","Y",1,"S2S Attachment Narrative Rule","KC-PD"
"KC2012","s2sModularBudgetRule","java.lang.String","Y",1,"S2S Modular Budget Rule","KC-PD"
"KC2013","s2sFederalIdRule","java.lang.String","Y",1,"S2S Federal Id Rule","KC-PD"
"KC2014","mtdcDeviation","java.lang.String","Y",1,"MTDC Deviation Rule","KC-PD"
"KC2015","s2sExemptionRule","java.lang.String","Y",1,"S2S Exemption Rule","KC-PD"
"KC2016","costElement","java.lang.String","Y",1,"Cost Element Rule","KC-PD"
"KC2017","activityTypeRule","java.lang.String","Y",1,"Activity Type Rule","KC-PD"
"KC2018","sponsor","java.lang.String","Y",1,"Sponsor Rule","KC-PD"
"KC2019","nonFacultyPi","java.lang.String","Y",1,"Non Faculty PI Rule","KC-PD"
"KC2020","attachmentFileNameRule","java.lang.String","Y",1,"Attachment File Name Rule","KC-PD"
"KC2021","mtdcDeviationInVersion","java.lang.String","Y",1,"MTDC Deviation In Version Rule","KC-PD"
"KC2022","proposalTypeRule","java.lang.String","Y",1,"Proposal Type Rule","KC-PD"
"KC2023","incompleteNarrativeRule","java.lang.String","Y",1,"Incomplete Narrative Rule","KC-PD"
