"TYP_ID","NM","NMSPC_CD","SRVC_NM","ACTV","VER_NBR"
"KC1000","Unit Agenda","KC-KRMS","{http://kc.kuali.org/core/v5_0}unitAgendaTypeService","Y",1
"KC10000","COI Java Function Term Service","KC-COIDISCLOSURE","coiJavaFunctionKrmsTermService","Y",1
"KC1001","Function Term Resolver Type Service","KC-KRMS","{http://kc.kuali.org/core/v5_0}javaFunctionTermResolverTypeService","Y",1
"KC1002","Question Term Resolver Type Service","KC-KRMS","{http://kc.kuali.org/core/v5_0}questionResolverTypeService","Y",1
"KC1003","CONTEXT","KC-KRMS",NULL,"Y",1
"KC1004","Questionnaire Agenda","KC-KRMS","{http://kc.kuali.org/core/v5_0}unitAgendaTypeService","Y",1
"KC1005","Stored Function Term Resolver Type Service","KC-KRMS","{http://kc.kuali.org/core/v5_0}storedFunctionTermResolverTypeService","Y",1
"KC1006","ProposalDevelopment Java Function Term Service","KC-PD","propDevJavaFunctionKrmsTermService","Y",1
"KC1007","IRB Java Function Term Service","KC-PROTOCOL","irbJavaFunctionKrmsTermService","Y",1
"KC1008","IACUC Java Function Term Service","KC-IACUC","iacucJavaFunctionKrmsTermService","Y",1
