"ENTITY_AFLTN_ID","ENTITY_ID","AFLTN_TYP_CD","CAMPUS_CD","DFLT_IND","ACTV_IND","OBJ_ID","VER_NBR"
"10002","10002","STAFF","BL","Y","Y","AA51CAC0E97C7EC0E040DC0A1F8A40D0","1"
"10003","10003","STAFF","BL","Y","Y","AA51CAC0E97D7EC0E040DC0A1F8A40D0","1"
"10004","10004","STAFF","BL","Y","Y","AA51CAC0E97E7EC0E040DC0A1F8A40D0","1"
"10005","10005","STAFF","BL","Y","Y","AA51CAC0E97F7EC0E040DC0A1F8A40D0","1"
"10006","10006","RSRCH_STAFF","BL","Y","Y","AA51CAC0E9807EC0E040DC0A1F8A40D0","1"
"10007","10007","MED_STAFF","IN","Y","Y","AA51CAC0E9817EC0E040DC0A1F8A40D0","1"
"10008","10008","FCLTY","BL","Y","Y","AA51CAC0E9827EC0E040DC0A1F8A40D0","1"
"10009","10009","FCLTY","BL","Y","Y","AA51CAC0E9837EC0E040DC0A1F8A40D0","1"
"10010","10010","FCLTY","BL","Y","Y","AA51CAC0E9847EC0E040DC0A1F8A40D0","1"
"10011","10011","FCLTY","BL","Y","Y","AA51CAC0E9857EC0E040DC0A1F8A40D0","1"
"10012","10012","FCLTY","BL","Y","Y","AA51CAC0E9867EC0E040DC0A1F8A40D0","1"
"10013","10013","FCLTY","BL","Y","Y","AA51CAC0E9877EC0E040DC0A1F8A40D0","1"
"10014","10014","FCLTY","BL","Y","Y","AA51CAC0E9887EC0E040DC0A1F8A40D0","1"
"10015","10015","FCLTY","BL","Y","Y","AA51CAC0E9897EC0E040DC0A1F8A40D0","1"
"10016","10016","FCLTY","BL","Y","Y","AA51CAC0E98A7EC0E040DC0A1F8A40D0","1"
"10017","10017","FCLTY","BL","Y","Y","AA51CAC0E98B7EC0E040DC0A1F8A40D0","1"
"10018","10018","FCLTY","BL","Y","Y","AA51CAC0E98C7EC0E040DC0A1F8A40D0","1"
"10019","10019","FCLTY","BL","Y","Y","AA51CAC0E98D7EC0E040DC0A1F8A40D0","1"
"10020","10020","FCLTY","BL","Y","Y","AA51CAC0E98E7EC0E040DC0A1F8A40D0","1"
"10021","10021","FCLTY","BL","Y","Y","AA51CAC0E98F7EC0E040DC0A1F8A40D0","1"
"10022","10022","FCLTY","BL","Y","Y","AA51CAC0E9907EC0E040DC0A1F8A40D0","1"
"10023","10023","FCLTY","BL","Y","Y","AA51CAC0E9917EC0E040DC0A1F8A40D0","1"
"10024","10024","FCLTY","BL","Y","Y","AA51CAC0E9927EC0E040DC0A1F8A40D0","1"
"10025","10025","FCLTY","BL","Y","Y","AA51CAC0E9937EC0E040DC0A1F8A40D0","1"
"10026","10026","FCLTY","BL","Y","Y","AA51CAC0E9947EC0E040DC0A1F8A40D0","1"
"10027","10027","FCLTY","BL","Y","Y","AA51CAC0E9957EC0E040DC0A1F8A40D0","1"
"10028","10028","FCLTY","BL","Y","Y","AA51CAC0E9967EC0E040DC0A1F8A40D0","1"
"10029","10029","FCLTY","BL","Y","Y","AA51CAC0E9977EC0E040DC0A1F8A40D0","1"
"10030","10030","FCLTY","BL","Y","Y","AA51CAC0E9987EC0E040DC0A1F8A40D0","1"
"10031","10031","FCLTY","BL","Y","Y","AA51CAC0E9997EC0E040DC0A1F8A40D0","1"
"10032","10032","FCLTY","BL","Y","Y","AA51CAC0E99A7EC0E040DC0A1F8A40D0","1"
"10033","10033","FCLTY","BL","Y","Y","AA51CAC0E99B7EC0E040DC0A1F8A40D0","1"
"10034","10034","FCLTY","BL","Y","Y","AA51CAC0E99C7EC0E040DC0A1F8A40D0","1"
"10035","10035","FCLTY","BL","Y","Y","AA51CAC0E99D7EC0E040DC0A1F8A40D0","1"
"10036","10036","FCLTY","BL","Y","Y","AA51CAC0E99E7EC0E040DC0A1F8A40D0","1"
"10037","10037","FCLTY","BL","Y","Y","AA51CAC0E99F7EC0E040DC0A1F8A40D0","1"
"10038","10038","FCLTY","BL","Y","Y","AA51CAC0E9A07EC0E040DC0A1F8A40D0","1"
"10039","10039","FCLTY","BL","Y","Y","AA51CAC0E9A17EC0E040DC0A1F8A40D0","1"
"10040","10040","FCLTY","BL","Y","Y","AA51CAC0E9A27EC0E040DC0A1F8A40D0","1"
"10041","10041","FCLTY","BL","Y","Y","AA51CAC0E9A37EC0E040DC0A1F8A40D0","1"
"10042","10042","FCLTY","BL","Y","Y","AA51CAC0E9A47EC0E040DC0A1F8A40D0","1"
"10043","10043","FCLTY","BL","Y","Y","AA51CAC0E9A57EC0E040DC0A1F8A40D0","1"
"10044","10044","FCLTY","BL","Y","Y","AA51CAC0E9A67EC0E040DC0A1F8A40D0","1"
"10045","10045","FCLTY","BL","Y","Y","AA51CAC0E9A77EC0E040DC0A1F8A40D0","1"
"10046","10046","FCLTY","BL","Y","Y","AA51CAC0E9A87EC0E040DC0A1F8A40D0","1"
"10047","10047","FCLTY","BL","Y","Y","AA51CAC0E9A97EC0E040DC0A1F8A40D0","1"
"10048","10048","FCLTY","BL","Y","Y","AA51CAC0E9AA7EC0E040DC0A1F8A40D0","1"
"10049","10049","FCLTY","BL","Y","Y","AA51CAC0E9AB7EC0E040DC0A1F8A40D0","1"
"10050","10050","FCLTY","BL","Y","Y","AA51CAC0E9AC7EC0E040DC0A1F8A40D0","1"
"10051","10051","FCLTY","BL","Y","Y","AA51CAC0E9AD7EC0E040DC0A1F8A40D0","1"
"10052","10052","FCLTY","BL","Y","Y","AA51CAC0E9AE7EC0E040DC0A1F8A40D0","1"
"10053","10053","FCLTY","BL","Y","Y","AA51CAC0E9AF7EC0E040DC0A1F8A40D0","1"
"10054","10054","FCLTY","BL","Y","Y","AA51CAC0E9B07EC0E040DC0A1F8A40D0","1"
"10055","10055","FCLTY","BL","Y","Y","AA51CAC0E9B17EC0E040DC0A1F8A40D0","1"
"10056","10056","FCLTY","BL","Y","Y","AA51CAC0E9B27EC0E040DC0A1F8A40D0","1"
"10057","10057","FCLTY","BL","Y","Y","AA51CAC0E9B37EC0E040DC0A1F8A40D0","1"
