"ENTITY_ID","ACTV_IND","OBJ_ID","VER_NBR"
"KC10001","Y","AAB850311EE21B41E040DC0A1F8A7174","1"
"KC10002","N","AAB850311EE41B41E040DC0A1F8A7174","1"
"KC10003","Y","AAB850311EE61B41E040DC0A1F8A7174","1"
"KC10004","Y","AAB850311EE81B41E040DC0A1F8A7174","1"
"KC10005","Y","AAB850311EEA1B41E040DC0A1F8A7174","1"
"KC10006","Y","AAB850311EEC1B41E040DC0A1F8A7174","1"
"KC10007","Y","AAB850311EEE1B41E040DC0A1F8A7174","1"
"KC10008","Y","AAB850311EF01B41E040DC0A1F8A7174","1"
"KC10009","Y","AAB850311EF21B41E040DC0A1F8A7174","1"
"KC10010","Y","AAB850311EF41B41E040DC0A1F8A7174","1"
"KC10011","Y","AAB850311EF61B41E040DC0A1F8A7174","1"
"KC10012","Y","AAB850311EF81B41E040DC0A1F8A7174","1"
"KC10013","Y","AAB850311EFA1B41E040DC0A1F8A7174","1"
"KC10014","Y","AAB850311EFC1B41E040DC0A1F8A7174","1"
"KC10015","Y","AAB850311EFE1B41E040DC0A1F8A7174","1"
"KC10016","Y","AAB850311F001B41E040DC0A1F8A7174","1"
"KC10017","Y","AAB850311F021B41E040DC0A1F8A7174","1"
"KC10018","Y","AAB850311F041B41E040DC0A1F8A7174","1"
"KC10019","Y","AAB850311F061B41E040DC0A1F8A7174","1"
"KC10020","Y","AAB850311F081B41E040DC0A1F8A7174","1"
"KC10021","Y","AAB850311F0A1B41E040DC0A1F8A7174","1"
"KC10022","Y","AAB850311F0C1B41E040DC0A1F8A7174","1"
"KC10023","Y","AAB850311F0E1B41E040DC0A1F8A7174","1"
"KC10024","Y","AAB850311F101B41E040DC0A1F8A7174","1"
"KC10025","Y","AAB850311F121B41E040DC0A1F8A7174","1"
"KC10026","Y","AAB850311F141B41E040DC0A1F8A7174","1"
"KC10027","Y","AAB850311F161B41E040DC0A1F8A7174","1"
"KC10028","Y","AAB850311F181B41E040DC0A1F8A7174","1"
"KC10029","Y","AAB850311F1A1B41E040DC0A1F8A7174","1"
"KC10030","Y","AAB850311F1C1B41E040DC0A1F8A7174","1"
"KC10031","Y","AAB850311F1E1B41E040DC0A1F8A7174","1"
"KC10032","Y","AAB850311F201B41E040DC0A1F8A7174","1"
"KC10033","Y","AAB850311F221B41E040DC0A1F8A7174","1"
"KC10034","Y","AAB850311F241B41E040DC0A1F8A7174","1"
"KC10035","Y","AAB850311F261B41E040DC0A1F8A7174","1"
"KC10036","Y","AAB850311F281B41E040DC0A1F8A7174","1"
"KC10037","Y","AAB850311F2A1B41E040DC0A1F8A7174","1"
"KC10038","Y","AAB850311F2C1B41E040DC0A1F8A7174","1"
"KC10039","Y","AAB850311F2E1B41E040DC0A1F8A7174","1"
"KC10040","Y","AAB850311F301B41E040DC0A1F8A7174","1"
"KC10041","Y","AAB850311F321B41E040DC0A1F8A7174","1"
"KC10042","Y","AAB850311F341B41E040DC0A1F8A7174","1"
"KC10043","Y","AAB850311F361B41E040DC0A1F8A7174","1"
"KC10044","Y","AAB850311F381B41E040DC0A1F8A7174","1"
"KC10045","Y","AAB850311F3A1B41E040DC0A1F8A7174","1"
"KC10046","Y","AAB850311F3C1B41E040DC0A1F8A7174","1"
"KC10047","Y","AAB850311F3E1B41E040DC0A1F8A7174","1"
"KC10048","Y","AAB850311F401B41E040DC0A1F8A7174","1"
"KC10049","Y","AAB850311F421B41E040DC0A1F8A7174","1"
"KC10050","Y","AAB850311F441B41E040DC0A1F8A7174","1"
"KC10051","Y","AAB850311F461B41E040DC0A1F8A7174","1"
"KC10052","Y","AAB850311F481B41E040DC0A1F8A7174","1"
"KC10053","Y","AAB850311F4A1B41E040DC0A1F8A7174","1"
"KC10054","Y","AAB850311F4C1B41E040DC0A1F8A7174","1"
"KC10055","Y","AAB850311F4E1B41E040DC0A1F8A7174","1"
"KC10056","Y","AAB850311F501B41E040DC0A1F8A7174","1"
"KC10057","Y","AAB850311F521B41E040DC0A1F8A7174","1"
"KC10058","Y","AAB850311F541B41E040DC0A1F8A7174","1"
"KC10059","Y","AAB850311F561B41E040DC0A1F8A7174","1"
"KC10060","Y","AAB850311F581B41E040DC0A1F8A7174","1"
"KC10061","Y","AAB850311F5A1B41E040DC0A1F8A7174","1"
"KC10062","Y","AAB850311F5C1B41E040DC0A1F8A7174","1"
"KC10063","Y","AAB850311F5E1B41E040DC0A1F8A7174","1"
"KC10064","Y","AAB850311F601B41E040DC0A1F8A7174","1"
"KC10065","Y","AAB850311F621B41E040DC0A1F8A7174","1"
"KC10066","Y","AAB850311F641B41E040DC0A1F8A7174","1"
"KC10067","Y","AAB850311F661B41E040DC0A1F8A7174","1"
"KC10068","Y","AAB850311F681B41E040DC0A1F8A7174","1"
"KC10069","Y","AAB850311F6A1B41E040DC0A1F8A7174","1"
"KC10070","Y","AAB850311F6C1B41E040DC0A1F8A7174","1"
"KC10071","Y","AAB850311F6E1B41E040DC0A1F8A7174","1"
"KC10072","Y","AAB850311F701B41E040DC0A1F8A7174","1"
"KC10073","Y","AAB850311F721B41E040DC0A1F8A7174","1"
"KC10074","Y","AAB850311F741B41E040DC0A1F8A7174","1"
"KC10075","Y","AAB850311F761B41E040DC0A1F8A7174","1"
"KC10076","Y","AAB850311F781B41E040DC0A1F8A7174","1"
"KC10077","Y","AAB850311F7A1B41E040DC0A1F8A7174","1"
"KC10078","Y","AAB850311F7C1B41E040DC0A1F8A7174","1"
"KC10079","Y","AAB850311F7E1B41E040DC0A1F8A7174","1"
"KC10080","Y","AAB850311F801B41E040DC0A1F8A7174","1"
"KC10081","Y","AAB850311F821B41E040DC0A1F8A7174","1"
"KC10082","Y","AAB850311F841B41E040DC0A1F8A7174","1"
"KC1132","Y","AA3F2F5F1BC60D45E040DC0A1F8A0205","1"
