"GRP_MBR_ID","GRP_ID","MBR_ID","MBR_TYP_CD","OBJ_ID","VER_NBR"
"10001","10001","quickstart","P","AA51CAC0EB037EC0E040DC0A1F8A40D0","1"
"10002","10001","10000000002","P","AA51CAC0EB047EC0E040DC0A1F8A40D0","1"
"10003","10001","10000000004","P","AA51CAC0EB057EC0E040DC0A1F8A40D0","1"
"10004","10001","10000000005","P","AA51CAC0EB067EC0E040DC0A1F8A40D0","1"
"10005","10001","10000000006","P","AA51CAC0EB077EC0E040DC0A1F8A40D0","1"
"10006","10001","10000000007","P","AA51CAC0EB087EC0E040DC0A1F8A40D0","1"
"10007","10001","10000000008","P","AA51CAC0EB097EC0E040DC0A1F8A40D0","1"
"10008","10001","10000000009","P","AA51CAC0EB0A7EC0E040DC0A1F8A40D0","1"
"10009","10001","10000000010","P","AA51CAC0EB0B7EC0E040DC0A1F8A40D0","1"
"10010","10001","10000000011","P","AA51CAC0EB0C7EC0E040DC0A1F8A40D0","1"
"10011","10001","10000000012","P","AA51CAC0EB0D7EC0E040DC0A1F8A40D0","1"
"10012","10001","10000000013","P","AA51CAC0EB0E7EC0E040DC0A1F8A40D0","1"
"10013","10001","10000000014","P","AA51CAC0EB0F7EC0E040DC0A1F8A40D0","1"
"10014","10001","10000000015","P","AA51CAC0EB107EC0E040DC0A1F8A40D0","1"
"10015","10001","10000000016","P","AA51CAC0EB117EC0E040DC0A1F8A40D0","1"
"10016","10001","10000000017","P","AA51CAC0EB127EC0E040DC0A1F8A40D0","1"
"10017","10001","10000000018","P","AA51CAC0EB137EC0E040DC0A1F8A40D0","1"
"10018","10001","10000000019","P","AA51CAC0EB147EC0E040DC0A1F8A40D0","1"
"10019","10001","10000000020","P","AA51CAC0EB157EC0E040DC0A1F8A40D0","1"
"10020","10001","10000000021","P","AA51CAC0EB167EC0E040DC0A1F8A40D0","1"
"10021","10001","10000000022","P","AA51CAC0EB177EC0E040DC0A1F8A40D0","1"
"10022","10001","10000000023","P","AA51CAC0EB187EC0E040DC0A1F8A40D0","1"
"10023","10001","10000000024","P","AA51CAC0EB197EC0E040DC0A1F8A40D0","1"
"10024","10001","10000000025","P","AA51CAC0EB1A7EC0E040DC0A1F8A40D0","1"
"10025","10001","10000000026","P","AA51CAC0EB1B7EC0E040DC0A1F8A40D0","1"
"10026","10001","10000000027","P","AA51CAC0EB1C7EC0E040DC0A1F8A40D0","1"
"10027","10001","10000000028","P","AA51CAC0EB1D7EC0E040DC0A1F8A40D0","1"
"10028","10001","10000000029","P","AA51CAC0EB1E7EC0E040DC0A1F8A40D0","1"
"10029","10001","10000000030","P","AA51CAC0EB1F7EC0E040DC0A1F8A40D0","1"
"10030","10001","10000000031","P","AA51CAC0EB207EC0E040DC0A1F8A40D0","1"
"10031","10001","10000000032","P","AA51CAC0EB217EC0E040DC0A1F8A40D0","1"
"10032","10001","10000000033","P","AA51CAC0EB227EC0E040DC0A1F8A40D0","1"
"10033","10001","10000000034","P","AA51CAC0EB237EC0E040DC0A1F8A40D0","1"
"10034","10001","10000000035","P","AA51CAC0EB247EC0E040DC0A1F8A40D0","1"
"10035","10001","10000000036","P","AA51CAC0EB257EC0E040DC0A1F8A40D0","1"
"10036","10001","10000000037","P","AA51CAC0EB267EC0E040DC0A1F8A40D0","1"
"10037","10001","10000000038","P","AA51CAC0EB277EC0E040DC0A1F8A40D0","1"
"10038","10001","10000000039","P","AA51CAC0EB287EC0E040DC0A1F8A40D0","1"
"10039","10001","10000000040","P","AA51CAC0EB297EC0E040DC0A1F8A40D0","1"
"10040","10001","10000000041","P","AA51CAC0EB2A7EC0E040DC0A1F8A40D0","1"
"10041","10001","10000000042","P","AA51CAC0EB2B7EC0E040DC0A1F8A40D0","1"
"10042","10001","10000000043","P","AA51CAC0EB2C7EC0E040DC0A1F8A40D0","1"
"10043","10001","10000000044","P","AA51CAC0EB2D7EC0E040DC0A1F8A40D0","1"
