"PERM_ID","OBJ_ID","VER_NBR","PERM_TMPL_ID","NMSPC_CD","NM","DESC_TXT","ACTV_IND"
"885","AA3F29ECA8EF77DAE040DC0A1F8A01CC","1","57","KC-PROTOCOL","Modify Any Protocol","Modify Any Protocol Document","Y"
"886","AA3F29ECA8F177DAE040DC0A1F8A01CC","1","56","KC-AWARD","View Any Proposal","View Any Proposal","Y"
"887","AA3F29ECA8F377DAE040DC0A1F8A01CC","1","55","KC-PROTOCOL","Perform IRB Actions on a Protocol","Perform any IRB action on a protocol submitted to a committee","Y"
"888","AA3F29ECA8F577DAE040DC0A1F8A01CC","1","16","KC-IP","Edit Proposal Log","Edit a Proposal Log","Y"
"889","AA3F29ECA8F777DAE040DC0A1F8A01CC","1","15","KC-IP","Save Proposal Log","Save a Proposal Log","Y"
"890","AA3F29ECA8F977DAE040DC0A1F8A01CC","1","5","KC-IP","Submit Proposal Log","Submit a Proposal Log","Y"
"891","AA3F29ECA8FB77DAE040DC0A1F8A01CC","1","53","KC-QUESTIONNAIRE","Modify Questionnaire","","Y"
"892","AA3F29ECA8FD77DAE040DC0A1F8A01CC","1","53","KC-QUESTIONNAIRE","View Questionnaire","","Y"
"893","AA3F29ECA8FF77DAE040DC0A1F8A01CC","1","60","KC-PD","Maintain ProposalHierarchy","Create, modify and synchronize ProposalHierarchies","Y"
"894","AA3F29ECA90077DAE040DC0A1F8A01CC","1","3","KC-SYS","Administer Routing for Document","Allows users to open KC documents via the Super search option in Document Search and take Administrative workflow actions on them (such as approving the document, approving individual requests, or sending the document to a specified route node).","Y"
"895","AA3F29ECA90277DAE040DC0A1F8A01CC","1","4","KC-SYS","Blanket Approve Document","Allows access to the Blanket Approval button on KC Documents.","Y"
"896","AA3F29ECA90477DAE040DC0A1F8A01CC","1","10","KC-SYS","Initiate Document","Authorizes the initiation of KC Documents.","Y"
"897","AA3F29ECA90677DAE040DC0A1F8A01CC","1","40","KC-SYS","Open Document","Authorizes users to open KC Documents.","Y"
"898","AA3F29ECA90877DAE040DC0A1F8A01CC","1","15","KC-SYS","Save Document","Authorizes user to save documents answering to the KC parent document Type.","Y"
"899","AA3F29ECA90A77DAE040DC0A1F8A01CC","1","47","KC-SYS","Delete Note / Attachment","Authorizes users to delete notes and attachments created by any user on documents answering to the KC parent document type.","Y"
"900","AA3F29ECA90D77DAE040DC0A1F8A01CC","1","9","KC-SYS","Ad Hoc Review Document","Authorizes users to take the Approve action on KC documents Ad Hoc routed to them.","Y"
"901","AA3F29ECA91077DAE040DC0A1F8A01CC","1","9","KC-SYS","Ad Hoc Review Document","Authorizes users to take the FYI action on KC documents Ad Hoc routed to them.","Y"
"902","AA3F29ECA91377DAE040DC0A1F8A01CC","1","9","KC-SYS","Ad Hoc Review Document","Authorizes users to take the Acknowledge action on KC documents Ad Hoc routed to them.","Y"
"903","AA3F29ECA91677DAE040DC0A1F8A01CC","1","10","KC-SYS","Initiate Document","Authorizes the initiation of KC Simple Maintenance documents.","Y"
"904","AA3F29ECA91877DAE040DC0A1F8A01CC","1","35","KC-SYS","Assign Role","Authorizes users to modify the information on the Assignees Tab of the Role Document and the Roles section of the Membership Tab on the Person Document for roles with a Module Code beginning with KRA.","Y"
"905","AA3F29ECA91A77DAE040DC0A1F8A01CC","1","36","KC-SYS","Grant Permission","Authorizes users to modify the information on the Permissions tab of the Role Document for roles with a module code beginning with KRA.","Y"
"906","AA3F29ECA91C77DAE040DC0A1F8A01CC","1","37","KC-SYS","Grant Responsibility","Authorizes users to modify the information on the Responsibility tab of the Role Document for roles with a Module Code that begins with KFS.","Y"
"907","AA3F29ECA91E77DAE040DC0A1F8A01CC","1","34","KC-SYS","Maintain System Parameter","Authorizes users to initiate and edit the Parameter document for pameters with a module code beginning with KFS.","Y"
"910","AA3F29ECA92277DAE040DC0A1F8A01CC","1","4","KC-PD","Blanket Approve ProposalDevelopmentDocument","Blanket Approve ProposalDevelopmentDocument","N"
"911","AA3F29ECA92477DAE040DC0A1F8A01CC","1","4","KC-PROTOCOL","Blanket Approve ProtocolDocument","Blanket Approve ProtocolDocument","N"
"912","AA3F29ECA92677DAE040DC0A1F8A01CC","1","4","KC-PROTOCOL","Blanket Approve CommitteeDocument","Blanket Approve CommitteeDocument","N"
"913","AA3F29ECA92877DAE040DC0A1F8A01CC","1","4","KC-AWARD","Blanket Approve AwardDocument","Blanket Approve AwardDocument","N"
"914","AA3F29ECA92A77DAE040DC0A1F8A01CC","1","4","KC-AWARD","Blanket Approve TimeAndMoneyDocument","Blanket Approve TimeAndMoneyDocument","N"
"915","AA3F29ECA92C77DAE040DC0A1F8A01CC","1","52","KC-QUESTIONNAIRE","Modify Question","Modify Question","Y"
"916","AA3F29ECA92E77DAE040DC0A1F8A01CC","1","52","KC-QUESTIONNAIRE","View Question","View Question","Y"
"917","AA3F29ECA93077DAE040DC0A1F8A01CC","1","10","KC-IP","Create Proposal Log","Initiate a new Proposal Log","Y"
"918","AA3F29ECA93277DAE040DC0A1F8A01CC","1","40","KC-IP","Open Proposal Log","Open a Proposal Log","Y"
"919","AA3F29ECA93477DAE040DC0A1F8A01CC","1","14","KC-IP","Cancel Proposal Log","Cancel a Proposal Log","Y"
"920","AA3F29ECA93677DAE040DC0A1F8A01CC","1","10","KC-IP","Create Institutional Proposal","Initiate a new Institutional Proposal","Y"
"921","AA3F29ECA93877DAE040DC0A1F8A01CC","1","16","KC-IP","Edit Institutional Proposal","Edit a Institutional Proposal","Y"
"922","AA3F29ECA93A77DAE040DC0A1F8A01CC","1","15","KC-IP","Save Institutional Proposal","Save a Institutional Proposal","Y"
"923","AA3F29ECA93C77DAE040DC0A1F8A01CC","1","5","KC-IP","Submit Institutional Proposal","Submit a Institutional Proposal","Y"
"924","AA3F29ECA93E77DAE040DC0A1F8A01CC","1","40","KC-IP","Open Institutional Proposal","Open a Institutional Proposal","Y"
"925","AA3F29ECA94077DAE040DC0A1F8A01CC","1","14","KC-IP","Cancel Institutional Proposal","Cancel a Institutional Proposal","Y"
"926","AA3F29ECA94277DAE040DC0A1F8A01CC","1","10","KC-IP","Create Intellectual Property Review","Initiate a new Intellectual Property Review","Y"
"927","AA3F29ECA94477DAE040DC0A1F8A01CC","1","16","KC-IP","Edit Intellectual Property Review","Edit a Intellectual Property Review","Y"
"928","AA3F29ECA94677DAE040DC0A1F8A01CC","1","15","KC-IP","Save Intellectual Property Review","Save a Intellectual Property Review","Y"
"929","AA3F29ECA94877DAE040DC0A1F8A01CC","1","5","KC-IP","Submit Intellectual Property Review","Submit a Intellectual Property Review","Y"
"930","AA3F29ECA94A77DAE040DC0A1F8A01CC","1","40","KC-IP","Open Intellectual Property Review","Open a Intellectual Property Review","Y"
"931","AA3F29ECA94C77DAE040DC0A1F8A01CC","1","14","KC-IP","Cancel Intellectual Property Review","Cancel a Intellectual Property Review","Y"
"932","AA3F29ECA94E77DAE040DC0A1F8A01CC","1","1","KC-M","Create Valid Rate","Create a Valid Rates entry","Y"
"933","AA3F29ECA95077DAE040DC0A1F8A01CC","1","16","KC-PROTOCOL","Modify Correspondence Template","","Y"
"934","AA3F29ECA95277DAE040DC0A1F8A01CC","1","40","KC-PROTOCOL","View Correspondence Template","","Y"
"935","AA3F29ECA95477DAE040DC0A1F8A01CC","1","4","KC-AB","Blanket Approve AwardBudgetDocument","Blanket Approve AwardBudgetDocument","Y"
