"ROLE_MBR_ID","ROLE_ID","MBR_ID","MBR_TYP_CD","OBJ_ID","VER_NBR"
"KC10000","KC99","KC10000000112","P","AAB8503122D51B41E040DC0A1F8A7174","1"
"KC10001","KC99","KC10000000116","P","AAB8503122D61B41E040DC0A1F8A7174","1"
"KC10002","KC102","KC10000000109","P","AAB8503122D71B41E040DC0A1F8A7174","1"
"KC10003","KC104","KC10000000118","P","AAB8503122D91B41E040DC0A1F8A7174","1"
"KC10004","KC105","KC10000000114","P","AAB8503122DB1B41E040DC0A1F8A7174","1"
"KC10005","KC105","KC10000000116","P","AAB8503122DD1B41E040DC0A1F8A7174","1"
"KC10006","KC111","KC10000000081","P","AAB8503122DF1B41E040DC0A1F8A7174","1"
"KC10007","KC111","KC10000000082","P","AAB8503122E11B41E040DC0A1F8A7174","1"
"KC10008","KC112","KC10000000102","P","AAB8503122E31B41E040DC0A1F8A7174","1"
"KC10009","KC113","KC10000000106","P","AAB8503122E61B41E040DC0A1F8A7174","1"
"KC10010","KC114","KC10000000107","P","AAB8503122E91B41E040DC0A1F8A7174","1"
"KC10011","KC115","KC10000000104","P","AAB8503122EC1B41E040DC0A1F8A7174","1"
"KC10012","KC120","KC10000000111","P","AAB8503122EF1B41E040DC0A1F8A7174","1"
"KC10013","KC121","KC10000000110","P","AAB8503122F21B41E040DC0A1F8A7174","1"
"KC10014","KC124","KC10000000108","P","AAB8503122F51B41E040DC0A1F8A7174","1"
"KC10015","KC125","KC10000000101","P","AAB8503122F81B41E040DC0A1F8A7174","1"
"KC10016","KC126","KC10000000103","P","AAB8503122FB1B41E040DC0A1F8A7174","1"
"KC10017","KC127","KC10000000117","P","AAB8503122FE1B41E040DC0A1F8A7174","1"
"KC10018","KC128","KC10000000112","P","AAB8503123011B41E040DC0A1F8A7174","1"
"KC10019","KC128","KC10000000113","P","AAB8503123041B41E040DC0A1F8A7174","1"
"KC10020","KC129","KC10000000115","P","AAB8503123071B41E040DC0A1F8A7174","1"
"KC10021","KC129","KC10000000116","P","AAB85031230A1B41E040DC0A1F8A7174","1"
"KC10022","KC131","KC10000000105","P","AAB85031230D1B41E040DC0A1F8A7174","1"
"KC10024","KC99","quickstart","P","AAB8503123111B41E040DC0A1F8A7174","1"
"KC10025","KC99","KC10000000002","P","AAB8503123121B41E040DC0A1F8A7174","1"
"KC10026","KC99","KC10000000004","P","AAB8503123131B41E040DC0A1F8A7174","1"
"KC10027","KC99","KC10000000005","P","AAB8503123141B41E040DC0A1F8A7174","1"
"KC10028","KC99","KC10000000006","P","AAB8503123151B41E040DC0A1F8A7174","1"
"KC10029","KC99","KC10000000007","P","AAB8503123161B41E040DC0A1F8A7174","1"
"KC10030","KC99","KC10000000008","P","AAB8503123171B41E040DC0A1F8A7174","1"
"KC10031","KC99","KC10000000009","P","AAB8503123181B41E040DC0A1F8A7174","1"
"KC10032","KC99","KC10000000010","P","AAB8503123191B41E040DC0A1F8A7174","1"
"KC10033","KC99","KC10000000011","P","AAB85031231A1B41E040DC0A1F8A7174","1"
"KC10034","KC99","KC10000000012","P","AAB85031231B1B41E040DC0A1F8A7174","1"
"KC10035","KC99","KC10000000013","P","AAB85031231C1B41E040DC0A1F8A7174","1"
"KC10036","KC99","KC10000000014","P","AAB85031231D1B41E040DC0A1F8A7174","1"
"KC10037","KC99","KC10000000015","P","AAB85031231E1B41E040DC0A1F8A7174","1"
"KC10038","KC99","KC10000000016","P","AAB85031231F1B41E040DC0A1F8A7174","1"
"KC10039","KC99","KC10000000017","P","AAB8503123201B41E040DC0A1F8A7174","1"
"KC10040","KC99","KC10000000018","P","AAB8503123211B41E040DC0A1F8A7174","1"
"KC10041","KC99","KC10000000019","P","AAB8503123221B41E040DC0A1F8A7174","1"
"KC10042","KC99","KC10000000020","P","AAB8503123231B41E040DC0A1F8A7174","1"
"KC10043","KC99","KC10000000021","P","AAB8503123241B41E040DC0A1F8A7174","1"
"KC10044","KC99","KC10000000022","P","AAB8503123251B41E040DC0A1F8A7174","1"
"KC10045","KC99","KC10000000023","P","AAB8503123261B41E040DC0A1F8A7174","1"
"KC10046","KC99","KC10000000024","P","AAB8503123271B41E040DC0A1F8A7174","1"
"KC10047","KC99","KC10000000025","P","AAB8503123281B41E040DC0A1F8A7174","1"
"KC10048","KC99","KC10000000026","P","AAB8503123291B41E040DC0A1F8A7174","1"
"KC10049","KC99","KC10000000027","P","AAB85031232A1B41E040DC0A1F8A7174","1"
"KC10050","KC99","KC10000000028","P","AAB85031232B1B41E040DC0A1F8A7174","1"
"KC10051","KC99","KC10000000029","P","AAB85031232C1B41E040DC0A1F8A7174","1"
"KC10052","KC99","KC10000000030","P","AAB85031232D1B41E040DC0A1F8A7174","1"
"KC10053","KC99","KC10000000031","P","AAB85031232E1B41E040DC0A1F8A7174","1"
"KC10054","KC99","KC10000000032","P","AAB85031232F1B41E040DC0A1F8A7174","1"
"KC10055","KC99","KC10000000033","P","AAB8503123301B41E040DC0A1F8A7174","1"
"KC10056","KC99","KC10000000034","P","AAB8503123311B41E040DC0A1F8A7174","1"
"KC10057","KC99","KC10000000035","P","AAB8503123321B41E040DC0A1F8A7174","1"
"KC10058","KC99","KC10000000036","P","AAB8503123331B41E040DC0A1F8A7174","1"
"KC10059","KC99","KC10000000037","P","AAB8503123341B41E040DC0A1F8A7174","1"
"KC10060","KC99","KC10000000038","P","AAB8503123351B41E040DC0A1F8A7174","1"
"KC10061","KC99","KC10000000039","P","AAB8503123361B41E040DC0A1F8A7174","1"
"KC10062","KC99","KC10000000040","P","AAB8503123371B41E040DC0A1F8A7174","1"
"KC10063","KC99","KC10000000041","P","AAB8503123381B41E040DC0A1F8A7174","1"
"KC10064","KC99","KC10000000042","P","AAB8503123391B41E040DC0A1F8A7174","1"
"KC10065","KC99","KC10000000043","P","AAB85031233A1B41E040DC0A1F8A7174","1"
"KC10066","KC99","KC10000000044","P","AAB85031233B1B41E040DC0A1F8A7174","1"
"KC10067","KC99","KC10000000045","P","AAB85031233C1B41E040DC0A1F8A7174","1"
"KC10068","KC99","KC10000000046","P","AAB85031233D1B41E040DC0A1F8A7174","1"
"KC10069","KC99","KC10000000047","P","AAB85031233E1B41E040DC0A1F8A7174","1"
"KC10070","KC99","KC10000000048","P","AAB85031233F1B41E040DC0A1F8A7174","1"
"KC10071","KC99","KC10000000049","P","AAB8503123401B41E040DC0A1F8A7174","1"
"KC10072","KC99","KC10000000050","P","AAB8503123411B41E040DC0A1F8A7174","1"
"KC10073","KC99","KC10000000051","P","AAB8503123421B41E040DC0A1F8A7174","1"
"KC10074","KC99","KC10000000052","P","AAB8503123431B41E040DC0A1F8A7174","1"
"KC10075","KC99","KC10000000053","P","AAB8503123441B41E040DC0A1F8A7174","1"
"KC10076","KC99","KC10000000054","P","AAB8503123451B41E040DC0A1F8A7174","1"
"KC10077","KC99","KC10000000055","P","AAB8503123461B41E040DC0A1F8A7174","1"
"KC10078","KC99","KC10000000112","P","AAB8503123471B41E040DC0A1F8A7174","1"
"KC10079","KC99","KC10000000112","P","AAB8503123481B41E040DC0A1F8A7174","1"
"KC10080","KC99","KC10000000116","P","AAB8503123491B41E040DC0A1F8A7174","1"
"KC10081","KC99","KC10000000116","P","AAB85031234A1B41E040DC0A1F8A7174","1"
"KC10082","KC100","KC10000000049","P","AAB85031234B1B41E040DC0A1F8A7174","1"
"KC10083","KC100","KC10000000059","P","AAB85031234C1B41E040DC0A1F8A7174","1"
"KC10084","KC101","KC10000000063","P","AAB85031234D1B41E040DC0A1F8A7174","1"
"KC10085","KC104","KC10000000116","P","AAB85031234F1B41E040DC0A1F8A7174","1"
"KC10086","KC104","KC10000000118","P","AAB8503123501B41E040DC0A1F8A7174","1"
"KC10087","KC105","KC10000000112","P","AAB8503123521B41E040DC0A1F8A7174","1"
"KC10088","KC105","KC10000000114","P","AAB8503123531B41E040DC0A1F8A7174","1"
"KC10089","KC105","KC10000000116","P","AAB8503123551B41E040DC0A1F8A7174","1"
"KC10090","KC110","quickstart","P","AAB8503123571B41E040DC0A1F8A7174","1"
"KC10091","KC111","quickstart","P","AAB8503123581B41E040DC0A1F8A7174","1"
"KC10092","KC111","quickstart","P","AAB85031235A1B41E040DC0A1F8A7174","1"
"KC10093","KC111","quickstart","P","AAB85031235C1B41E040DC0A1F8A7174","1"
