"ROLE_RSP_ACTN_ID","ROLE_RSP_ID","ROLE_MBR_ID","ACTN_TYP_CD","PRIORITY_NBR","ACTN_PLCY_CD","FRC_ACTN","OBJ_ID","VER_NBR"
"KC10","KC10","*","A","1","F","Y","AA3F29ECA99077DAE040DC0A1F8A01CC","1"
"KC11","KC11","*","A","1","F","N","AA3F29ECA99277DAE040DC0A1F8A01CC","1"
"KC12","KC12","*","A","1","A","N","AA3F29ECA99477DAE040DC0A1F8A01CC","1"
"KC13","KC13","*","A","1","A","N","AA3F29ECA99677DAE040DC0A1F8A01CC","1"
"KC14","KC14","*","A","1","F","N","AA3F29ECA99877DAE040DC0A1F8A01CC","1"
"KC15","KC15","*","A","1","F","N","AA3F29ECA99A77DAE040DC0A1F8A01CC","1"
"KC16","KC16","*","A","1","A","N","AA3F29ECA99C77DAE040DC0A1F8A01CC","1"
"KC18","KC18","*","A","1","F","Y","AA3F29ECA9A077DAE040DC0A1F8A01CC","1"
"KC2","KC2","*","A","1","F","Y","AA3F29ECA98077DAE040DC0A1F8A01CC","1"
"KC3","KC3","*","A","1","F","Y","AA3F29ECA98277DAE040DC0A1F8A01CC","1"
"KC4","KC4","*","A","1","F","Y","AA3F29ECA98477DAE040DC0A1F8A01CC","1"
"KC5","KC5","*","A","1","F","Y","AA3F29ECA98677DAE040DC0A1F8A01CC","1"
"KC6","KC6","*","A","1","F","N","AA3F29ECA98877DAE040DC0A1F8A01CC","1"
"KC7","KC7","*","A","1","F","N","AA3F29ECA98A77DAE040DC0A1F8A01CC","1"
"KC8","KC8","*","A","1","F","N","AA3F29ECA98C77DAE040DC0A1F8A01CC","1"
"KC9","KC9","*","A","1","F","N","AA3F29ECA98E77DAE040DC0A1F8A01CC","1"
