"ROLE_ID","ROLE_NM","NMSPC_CD","DESC_TXT","KIM_TYP_ID","ACTV_IND","OBJ_ID","VER_NBR"
"100","OSPApprover","KC-WKFLW","Office of Sponsored Projects Approver","1","Y","AA3F29ECA83877DAE040DC0A1F8A01CC","1"
"10000","Aggregator Only","KC-PD","Proposal Aggregator without Rate Modify Right","101","Y","AA51CAC0EB007EC0E040DC0A1F8A40D0","1"
"10001","Budget Creator Only","KC-PD","Budget Creator without Rate Modify Perm","101","Y","AA51CAC0EB017EC0E040DC0A1F8A40D0","1"
"101","Award Budget Viewer","KC-AB","Award Budget Viewer - the role grants permissions to view award budget at departmental level","101","Y","AA3F29ECA83977DAE040DC0A1F8A01CC","1"
"102","Award Budget Modifier","KC-AB","Award Budget Modifier - the role grants permissions to modify or view award budget at departmental level","101","Y","AA3F29ECA83A77DAE040DC0A1F8A01CC","1"
"103","approver","KC-PD","approver","101","Y","AA3F29ECA83B77DAE040DC0A1F8A01CC","1"
"104","Protocol Viewer","KC-PROTOCOL","Protocol Viewer","101","Y","AA3F29ECA83C77DAE040DC0A1F8A01CC","1"
"105","Protocol Aggregator","KC-PROTOCOL","Protocol Aggregator","101","Y","AA3F29ECA83D77DAE040DC0A1F8A01CC","1"
"106","unassigned","KC-PD","Unassigned role - no permissions","101","Y","AA3F29ECA83E77DAE040DC0A1F8A01CC","1"
"107","Viewer","KC-PD","Proposal Viewer","101","Y","AA3F29ECA83F77DAE040DC0A1F8A01CC","1"
"108","Budget Creator","KC-PD","Proposal Budget Creator","101","Y","AA3F29ECA84077DAE040DC0A1F8A01CC","1"
"109","Narrative Writer","KC-PD","Proposal Narrative Writer","101","Y","AA3F29ECA84177DAE040DC0A1F8A01CC","1"
"110","Aggregator","KC-PD","Proposal Aggregator","101","Y","AA3F29ECA84277DAE040DC0A1F8A01CC","1"
"111","Proposal Creator","KC-UNT","Proposal Creator","101","Y","AA3F29ECA84377DAE040DC0A1F8A01CC","1"
"112","Award Budget Approver","KC-AB","Award Budget Approver - the role grants permissions to edit and approve award budget","102","Y","AA3F29ECA84477DAE040DC0A1F8A01CC","1"
"113","Award Budget Aggregator","KC-AB","Award Budget Aggregator - the role grants permissions to create and maintain award budget at department level","102","Y","AA3F29ECA84577DAE040DC0A1F8A01CC","1"
"114","Award Budget Maintainer","KC-AB","Maintain Award Budget - the role grants permissions to modify and submit award budget at departmental level","102","Y","AA3F29ECA84677DAE040DC0A1F8A01CC","1"
"115","Award Budget Administrator","KC-AB","Award Budget Administrator - the role grants permissions to manage any award budget at OSP level","102","Y","AA3F29ECA84777DAE040DC0A1F8A01CC","1"
"116","Intellectual Property Review Maintainer","KC-IP","Maintain Intellectual Property Review","102","Y","AA3F29ECA84877DAE040DC0A1F8A01CC","1"
"117","Institutional Proposal Maintainer","KC-IP","Maintain Institutional Proposals","102","Y","AA3F29ECA84977DAE040DC0A1F8A01CC","1"
"118","Institutional Proposal Viewer","KC-IP","View Institutional Proposals","102","Y","AA3F29ECA84A77DAE040DC0A1F8A01CC","1"
"119","Award Unassigned","KC-AWARD","Award Unassigned","102","Y","AA3F29ECA84B77DAE040DC0A1F8A01CC","1"
"120","Template Viewer","KC-AWARD","Template Viewer","102","Y","AA3F29ECA84C77DAE040DC0A1F8A01CC","1"
"121","Departments Awards Viewer","KC-AWARD","Departments Awards Viewer","102","Y","AA3F29ECA84D77DAE040DC0A1F8A01CC","1"
"122","Award Documents Viewer","KC-AWARD","Award Documents Viewer","102","Y","AA3F29ECA84E77DAE040DC0A1F8A01CC","1"
"123","Award Viewer","KC-AWARD","Award Viewer","102","Y","AA3F29ECA84F77DAE040DC0A1F8A01CC","1"
