"KIM_TYP_ATTR_ID","OBJ_ID","VER_NBR","SORT_CD","KIM_TYP_ID","KIM_ATTR_DEFN_ID","ACTV_IND"
"10000","91956B68C8091E22E040DC0A1F8A3CF5","1","A","1015","1001","Y"
"1001","77151AD4B0B99985E0404F8189D80E8B","1","A","1001","1001","Y"
"1002","77151AD4B0BB9985E0404F8189D80E8B","1","A","1002","1001","Y"
"1003","77151AD4B0BD9985E0404F8189D80E8B","1","B","1002","1002","Y"
"1004","77151AD4B2059985E0404F8189D80E8B","1","a","1006","1003","Y"
"1005","77151AD4B2069985E0404F8189D80E8B","1","b","1006","13","Y"
"1006","77151AD4B2549985E0404F8189D80E8B","1","a","1007","1004","Y"
"1007","77151AD4B2559985E0404F8189D80E8B","1","b","1007","13","Y"
"1008","77151AD4B29D9985E0404F8189D80E8B","1","A","1008","1005","Y"
"1009","77151AD4B2A09985E0404F8189D80E8B","1","A","1009","1006","Y"
"1010","77151AD4B2A39985E0404F8189D80E8B","1","A","1010","1007","Y"
"1011","77151AD4B2A69985E0404F8189D80E8B","1","A","1011","1008","Y"
"1012","77151AD4B2A99985E0404F8189D80E8B","1","A","1012","1009","Y"
