"NMSPC_CD","OBJ_ID","VER_NBR","NM","ACTV_IND","APPL_NMSPC_CD"
"KC-AB","AA3F29ECA6CA77DAE040DC0A1F8A01CC","1","Award Budget","Y","KC"
"KC-ADM","AA3F29ECA6CB77DAE040DC0A1F8A01CC","1","Kuali Coeus-Office of Sponsored Projects","Y","KC"
"KC-AWARD","AA3F29ECA6CC77DAE040DC0A1F8A01CC","1","Award","Y","KC"
"KC-B","AA3F29ECA6CD77DAE040DC0A1F8A01CC","1","Budget","Y","KC"
"KC-COMMITTEE","AA3F29ECA6CE77DAE040DC0A1F8A01CC","1","KC IRB Committee","Y","KC"
"KC-GEN","AA3F29ECA6CF77DAE040DC0A1F8A01CC","1","General Kuali Coeus","Y","KC"
"KC-IDM","AA3F29ECA6D077DAE040DC0A1F8A01CC","1","Kuali Coeus KIM IDM & AuthZ","Y","KC"
"KC-IP","AA3F29ECA6D177DAE040DC0A1F8A01CC","1","Institutional Proposal","Y","KC"
"KC-M","AA3F29ECA6D277DAE040DC0A1F8A01CC","1","Maintenance","Y","KC"
"KC-PD","AA3F29ECA6D377DAE040DC0A1F8A01CC","1","Proposal Development","Y","KC"
"KC-PROTOCOL","AA3F29ECA6D477DAE040DC0A1F8A01CC","1","KC IRB Protocol","Y","KC"
"KC-QUESTIONNAIRE","AA3F29ECA6D577DAE040DC0A1F8A01CC","1","KC Questionnaire","Y","KC"
"KC-SYS","AA3F29ECA6D677DAE040DC0A1F8A01CC","1","Kuali Coeus System","Y","KC"
"KC-T","AA3F29ECA6D777DAE040DC0A1F8A01CC","1","Time And Money","Y","KC"
"KC-UNT","AA3F29ECA6D877DAE040DC0A1F8A01CC","1","Kuali Coeus - Department","Y","KC"
"KC-WKFLW","AA3F29ECA6D977DAE040DC0A1F8A01CC","1","KC Workflow Infrastructure","Y","KC"
