"NMSPC_CD","PARM_DTL_TYP_CD","OBJ_ID","VER_NBR","NM","ACTV_IND"
"KC-AB","Document","AA3F29ECA6DA77DAE040DC0A1F8A01CC","1","Document","Y"
"KC-AWARD","Document","AA3F29ECA6DB77DAE040DC0A1F8A01CC","1","Document","Y"
"KC-B","All","AA3F29ECA6DC77DAE040DC0A1F8A01CC","1","All","Y"
"KC-B","Document","AA3F29ECA6DD77DAE040DC0A1F8A01CC","1","Document","Y"
"KC-GEN","All","AA3F29ECA6DE77DAE040DC0A1F8A01CC","1","All","Y"
"KC-GEN","Document","AA3F29ECA6DF77DAE040DC0A1F8A01CC","1","Document","Y"
"KC-GEN","DocumentType","AA3F29ECA6E077DAE040DC0A1F8A01CC","1","Custom Attribute Document Type","Y"
"KC-IP","Document","AA3F29ECA6E177DAE040DC0A1F8A01CC","1","Document","Y"
"KC-M","Document","AA3F29ECA6E277DAE040DC0A1F8A01CC","1","Document","Y"
"KC-PD","All","AA3F29ECA6E377DAE040DC0A1F8A01CC","1","All","Y"
"KC-PD","Document","AA3F29ECA6E477DAE040DC0A1F8A01CC","1","Document","Y"
"KC-PD","Lookup","AA3F29ECA6E577DAE040DC0A1F8A01CC","1","Lookup","Y"
"KC-PROTOCOL","Document","AA3F29ECA6E677DAE040DC0A1F8A01CC","1","Document","Y"
"KC-QUESTIONNAIRE","P","AA3F29ECA6E777DAE040DC0A1F8A01CC","1","Permissions","Y"
"KC-T","Document","AA3F29ECA6E877DAE040DC0A1F8A01CC","1","Document","Y"
